stock_code,eval_date,strategy,trade_status,final_pnl,MFE,MAE,holding_days,entry_slip,trigger_buy,stop_loss,best_ma,polarity,fit_score,deep_touches
sh600307,2026-04-23,ADAPTIVE_MA_SUPPORT,未成交,0.0000,0.0000,0.0000,0,0.0000,1.6896,1.5488,200,0,68,18
sh600486,2026-04-23,ADAPTIVE_MA_SUPPORT,未成交,0.0000,0.0000,0.0000,0,0.0000,67.0656,61.4768,200,0,60,16
sh600339,2026-04-23,ADAPTIVE_MA_SUPPORT,未成交,0.0000,0.0000,0.0000,0,0.0000,3.7632,3.4496,90,0,56,21
sh601857,2026-04-23,ADAPTIVE_MA_SUPPORT,未成交,0.0000,0.0000,0.0000,0,0.0000,11.1168,10.1904,60,0,48,15
sh600125,2026-04-23,ADAPTIVE_MA_SUPPORT,未成交,0.0000,0.0000,0.0000,0,0.0000,5.9232,5.4296,240,0,80,22
sh600754,2026-04-23,ADAPTIVE_MA_SUPPORT,持仓到期,-0.0399,0.0013,-0.0419,3,-0.0324,25.1232,23.0296,120,0,60,17
sz002828,2026-04-23,ADAPTIVE_MA_SUPPORT,持仓到期,0.0112,0.0556,-0.0332,8,0.0000,11.4912,10.5336,150,0,56,22
sz000554,2026-04-23,ADAPTIVE_MA_SUPPORT,未成交,0.0000,0.0000,0.0000,0,0.0000,7.6032,6.9696,90,0,52,21
sz300332,2026-04-23,ADAPTIVE_MA_SUPPORT,未成交,0.0000,0.0000,0.0000,0,0.0000,5.3184,4.8752,240,0,76,22
sz000617,2026-04-23,ADAPTIVE_MA_SUPPORT,未成交,0.0000,0.0000,0.0000,0,0.0000,8.8704,8.1312,240,0,60,18
sz000803,2026-04-23,ADAPTIVE_MA_SUPPORT,未成交,0.0000,0.0000,0.0000,0,0.0000,7.6512,7.0136,150,0,56,18
sz300215,2026-04-23,ADAPTIVE_MA_SUPPORT,未成交,0.0000,0.0000,0.0000,0,0.0000,7.6512,7.0136,120,0,48,17
sz002323,2026-04-23,ADAPTIVE_MA_SUPPORT,止损出局,-0.0825,0.0000,-0.0825,1,-0.0156,1.9488,1.7864,90,0,64,24
