stock_code,eval_date,strategy,trade_status,final_pnl,MFE,MAE,holding_days,entry_slip,trigger_buy,stop_loss,best_ma,polarity,fit_score,deep_touches
sh600307,2026-04-27,ADAPTIVE_MA_SUPPORT,未成交,0.0000,0.0000,0.0000,0,0.0000,1.6896,1.5488,200,0,72,20
sh603727,2026-04-27,ADAPTIVE_MA_SUPPORT,持仓到期,-0.0328,0.0230,-0.0351,3,0.0000,17.7216,16.2448,60,0,48,20
sh600671,2026-04-27,ADAPTIVE_MA_SUPPORT,未成交,0.0000,0.0000,0.0000,0,0.0000,18.7584,17.1952,90,0,76,25
sh600486,2026-04-27,ADAPTIVE_MA_SUPPORT,未成交,0.0000,0.0000,0.0000,0,0.0000,67.2000,61.6000,200,0,68,18
sh600026,2026-04-27,ADAPTIVE_MA_SUPPORT,未成交,0.0000,0.0000,0.0000,0,0.0000,20.4096,18.7088,60,1,105,15
sh600785,2026-04-27,ADAPTIVE_MA_SUPPORT,未成交,0.0000,0.0000,0.0000,0,0.0000,16.2336,14.8808,120,0,56,19
sh600645,2026-04-27,ADAPTIVE_MA_SUPPORT,持仓到期,-0.0140,0.0144,-0.0281,2,-0.0412,25.7568,23.6104,200,0,56,20
sz300813,2026-04-27,ADAPTIVE_MA_SUPPORT,持仓到期,0.0050,0.0213,-0.0254,2,0.0000,25.0656,22.9768,240,0,60,17
sz300603,2026-04-27,ADAPTIVE_MA_SUPPORT,持仓到期,0.0398,0.0628,-0.0004,5,-0.0053,10.5001,9.8072,90,1,61,10
sz002054,2026-04-27,ADAPTIVE_MA_SUPPORT,未成交,0.0000,0.0000,0.0000,0,0.0000,7.9584,7.2952,150,0,76,21
sz002828,2026-04-27,ADAPTIVE_MA_SUPPORT,持仓到期,-0.0035,0.0295,-0.0340,6,0.0000,11.5008,10.5424,150,0,64,24
sz002541,2026-04-27,ADAPTIVE_MA_SUPPORT,未成交,0.0000,0.0000,0.0000,0,0.0000,18.7200,17.1600,150,0,68,21
sz300639,2026-04-27,ADAPTIVE_MA_SUPPORT,未成交,0.0000,0.0000,0.0000,0,0.0000,5.9520,5.4560,200,1,121,25
sz300565,2026-04-27,ADAPTIVE_MA_SUPPORT,未成交,0.0000,0.0000,0.0000,0,0.0000,12.1056,11.0968,240,1,105,16
sz300335,2026-04-27,ADAPTIVE_MA_SUPPORT,未成交,0.0000,0.0000,0.0000,0,0.0000,6.2880,5.7640,90,0,56,23
sz002294,2026-04-27,ADAPTIVE_MA_SUPPORT,未成交,0.0000,0.0000,0.0000,0,0.0000,52.4544,48.0832,60,0,52,16
sz000617,2026-04-27,ADAPTIVE_MA_SUPPORT,未成交,0.0000,0.0000,0.0000,0,0.0000,8.8896,8.1488,240,0,68,20
sz000729,2026-04-27,ADAPTIVE_MA_SUPPORT,未成交,0.0000,0.0000,0.0000,0,0.0000,11.9712,10.9736,120,0,52,25
sz300569,2026-04-27,ADAPTIVE_MA_SUPPORT,未成交,0.0000,0.0000,0.0000,0,0.0000,6.1248,5.6144,150,0,56,22
