=== DAILY_MA_PULLBACK 策略筛选报告 ===
扫描时间: 2025-08-13 15:14:03
处理文件数: 8968
处理耗时: 2.31 秒
发现信号数: 1030
历史信号总数: 1030
平均胜率: 0.0%
平均收益率: 1.2%
平均达峰天数: 0.0 天

=== 前10名表现最佳股票 ===
 1. sz300752 - 胜率: 0.0%, 收益: 20.5%, 天数: 0.0 天
 2. sz300702 - 胜率: 0.0%, 收益: 19.9%, 天数: 0.0 天
 3. sz300158 - 胜率: 0.0%, 收益: 18.9%, 天数: 0.0 天
 4. sh688228 - 胜率: 0.0%, 收益: 14.6%, 天数: 0.0 天
 5. sz300255 - 胜率: 0.0%, 收益: 14.3%, 天数: 0.0 天
 6. sz300314 - 胜率: 0.0%, 收益: 13.7%, 天数: 0.0 天
 7. sh600172 - 胜率: 0.0%, 收益: 12.2%, 天数: 0.0 天
 8. sz300669 - 胜率: 0.0%, 收益: 12.2%, 天数: 0.0 天
 9. sz300264 - 胜率: 0.0%, 收益: 12.2%, 天数: 0.0 天
10. sz000026 - 胜率: 0.0%, 收益: 12.1%, 天数: 0.0 天

=== 深度扫描结果 (多线程) ===
深度分析成功: 1030/1030
A级股票发现: 373
价格评估完成: 373
买入推荐: 805

sh603303: 81.8分, ¥13.67, BUY (信心度: 81.8%) [已评估]
sh600293: 81.8分, ¥3.16, BUY (信心度: 81.8%) [已评估]
sh600127: 81.9分, ¥7.01, BUY (信心度: 81.9%) [已评估]
sh601368: 82.9分, ¥5.08, BUY (信心度: 82.9%) [已评估]
sh600621: 81.4分, ¥16.15, BUY (信心度: 81.4%) [已评估]
sh603307: 81.1分, ¥40.43, BUY (信心度: 81.1%) [已评估]
sh601106: 81.6分, ¥3.05, BUY (信心度: 81.6%) [已评估]
sh601599: 81.8分, ¥3.91, BUY (信心度: 81.8%) [已评估]
sh600369: 81.7分, ¥4.64, BUY (信心度: 81.7%) [已评估]
sh603718: 80.5分, ¥7.61, BUY (信心度: 80.5%) [已评估]
sh600758: 82.3分, ¥4.04, BUY (信心度: 82.3%) [已评估]
sh600111: 80.1分, ¥38.65, BUY (信心度: 80.1%) [已评估]
sh603569: 82.2分, ¥8.15, BUY (信心度: 82.2%) [已评估]
sh601399: 81.4分, ¥3.41, BUY (信心度: 81.4%) [已评估]
sh600301: 82.2分, ¥23.14, BUY (信心度: 82.2%) [已评估]
sh600805: 82.0分, ¥5.68, BUY (信心度: 82.0%) [已评估]
sh603071: 82.2分, ¥13.87, BUY (信心度: 82.2%) [已评估]
sh600030: 81.2分, ¥29.38, BUY (信心度: 81.2%) [已评估]
sh601811: 81.6分, ¥15.53, BUY (信心度: 81.6%) [已评估]
sh600022: 81.7分, ¥1.55, BUY (信心度: 81.7%) [已评估]
sh601921: 82.2分, ¥8.32, BUY (信心度: 82.2%) [已评估]
sh600429: 82.9分, ¥4.69, BUY (信心度: 82.9%) [已评估]
sh603320: 82.4分, ¥19.96, BUY (信心度: 82.4%) [已评估]
sh688199: 80.4分, ¥25.56, BUY (信心度: 80.4%) [已评估]
sh603967: 81.6分, ¥11.81, BUY (信心度: 81.6%) [已评估]
sh601007: 82.3分, ¥7.69, BUY (信心度: 82.3%) [已评估]
sh600067: 82.2分, ¥3.14, BUY (信心度: 82.2%) [已评估]
sh600512: 81.8分, ¥2.40, BUY (信心度: 81.8%) [已评估]
sh603708: 81.1分, ¥10.88, BUY (信心度: 81.1%) [已评估]
sh601083: 81.7分, ¥12.31, BUY (信心度: 81.7%) [已评估]
sh601212: 82.4分, ¥3.31, BUY (信心度: 82.4%) [已评估]
sh688370: 80.7分, ¥24.31, BUY (信心度: 80.7%) [已评估]
