=== MACD_ZERO_AXIS 策略筛选报告 ===
扫描时间: 2025-08-12 12:10:16
处理文件数: 8968
处理耗时: 1.87 秒
发现信号数: 376
历史信号总数: 2463
平均胜率: 43.3%
平均收益率: 20.1%
平均达峰天数: 17.6 天

=== 信号状态分布 ===
PRE: 123 个
MID: 126 个
POST: 127 个

=== 前10名表现最佳股票 ===
 1. sz300521 - 胜率: 100.0%, 收益: 99.5%, 天数: 18.0 天
 2. sz000652 - 胜率: 50.0%, 收益: 62.6%, 天数: 16.0 天
 3. sz002141 - 胜率: 66.7%, 收益: 54.4%, 天数: 21.2 天
 4. sz300546 - 胜率: 20.0%, 收益: 51.2%, 天数: 28.0 天
 5. sh688496 - 胜率: 66.7%, 收益: 51.1%, 天数: 16.5 天
 6. sz002580 - 胜率: 50.0%, 收益: 47.6%, 天数: 23.5 天
 7. sz002654 - 胜率: 42.9%, 收益: 47.3%, 天数: 17.3 天
 8. sh603799 - 胜率: 66.7%, 收益: 46.2%, 天数: 31.0 天
 9. sh600169 - 胜率: 100.0%, 收益: 45.6%, 天数: 15.0 天
10. sh603527 - 胜率: 83.3%, 收益: 45.4%, 天数: 16.6 天

=== 深度扫描结果 (多线程) ===
深度分析成功: 376/376
sh600089: 81.8分, ¥13.89, BUY (信心度: 81.8%) [已评估]
sh603113: 81.0分, ¥8.04, BUY (信心度: 81.0%) [已评估]
sh600888: 81.7分, ¥7.48, BUY (信心度: 81.7%) [已评估]
sh603527: 81.1分, ¥11.79, BUY (信心度: 81.1%) [已评估]
sh600581: 82.4分, ¥4.66, BUY (信心度: 82.4%) [已评估]
sh600802: 81.3分, ¥5.62, BUY (信心度: 81.3%) [已评估]
sz000688: 82.7分, ¥14.41, BUY (信心度: 82.7%) [已评估]
sz000068: 82.1分, ¥3.56, BUY (信心度: 82.1%) [已评估]
sh600649: 81.3分, ¥4.60, BUY (信心度: 81.3%) [已评估]
sz300433: 81.6分, ¥24.26, BUY (信心度: 81.6%) [已评估]
sh600075: 82.5分, ¥4.74, BUY (信心度: 82.5%) [已评估]
sz002831: 81.0分, ¥24.65, BUY (信心度: 81.0%) [已评估]
sz000509: 81.1分, ¥3.54, BUY (信心度: 81.1%) [已评估]
sh601618: 81.7分, ¥3.20, BUY (信心度: 81.7%) [已评估]
sz002226: 82.2分, ¥6.42, BUY (信心度: 82.2%) [已评估]
sz000655: 82.4分, ¥8.64, BUY (信心度: 82.4%) [已评估]
sz002307: 82.4分, ¥5.07, BUY (信心度: 82.4%) [已评估]
sz300774: 80.9分, ¥9.57, BUY (信心度: 80.9%) [已评估]
sz002363: 81.1分, ¥8.59, BUY (信心度: 81.1%) [已评估]
sz002548: 81.8分, ¥4.20, BUY (信心度: 81.8%) [已评估]
sz002064: 81.3分, ¥7.94, BUY (信心度: 81.3%) [已评估]
sz000011: 81.5分, ¥9.56, BUY (信心度: 81.5%) [已评估]
sz001201: 81.9分, ¥17.65, BUY (信心度: 81.9%) [已评估]
sz000823: 81.2分, ¥14.28, BUY (信心度: 81.2%) [已评估]
sz002066: 80.6分, ¥12.91, BUY (信心度: 80.6%) [已评估]
sz000702: 81.5分, ¥8.19, BUY (信心度: 81.5%) [已评估]
sz002532: 82.4分, ¥9.61, BUY (信心度: 82.4%) [已评估]
sz002376: 80.9分, ¥7.94, BUY (信心度: 80.9%) [已评估]
sz000926: 80.3分, ¥2.99, BUY (信心度: 80.3%) [已评估]
sz000545: 81.9分, ¥2.89, BUY (信心度: 81.9%) [已评估]
sz002666: 81.9分, ¥5.29, BUY (信心度: 81.9%) [已评估]
sz002186: 82.3分, ¥11.52, BUY (信心度: 82.3%) [已评估]
sz000590: 82.5分, ¥13.09, BUY (信心度: 82.5%) [已评估]
sz300962: 81.5分, ¥18.28, BUY (信心度: 81.5%) [已评估]
sz000652: 81.8分, ¥4.57, BUY (信心度: 81.8%) [已评估]
sz002160: 81.8分, ¥4.56, BUY (信心度: 81.8%) [已评估]
sz000965: 81.2分, ¥4.49, BUY (信心度: 81.2%) [已评估]
sz000014: 83.1分, ¥12.95, BUY (信心度: 83.1%) [已评估]
sz001203: 80.5分, ¥12.30, BUY (信心度: 80.5%) [已评估]
sz000042: 81.3分, ¥8.80, BUY (信心度: 81.3%) [已评估]
sz002778: 82.8分, ¥19.14, BUY (信心度: 82.8%) [已评估]
sz000928: 82.3分, ¥6.62, BUY (信心度: 82.3%) [已评估]
sz300214: 82.0分, ¥7.38, BUY (信心度: 82.0%) [已评估]
sz002246: 82.2分, ¥19.60, BUY (信心度: 82.2%) [已评估]
sz000685: 82.1分, ¥10.19, BUY (信心度: 82.1%) [已评估]
sz002241: 81.7分, ¥23.99, BUY (信心度: 81.7%) [已评估]
sz002705: 80.0分, ¥15.68, BUY (信心度: 80.0%) [已评估]
sz300388: 81.8分, ¥7.98, BUY (信心度: 81.8%) [已评估]
sz000008: 82.0分, ¥2.93, BUY (信心度: 82.0%) [已评估]
sz300181: 81.8分, ¥20.39, BUY (信心度: 81.8%) [已评估]
sz300196: 80.4分, ¥14.82, BUY (信心度: 80.4%) [已评估]
sz300749: 82.1分, ¥9.31, BUY (信心度: 82.1%) [已评估]
sz000530: 83.0分, ¥6.87, BUY (信心度: 83.0%) [已评估]
sz002746: 80.9分, ¥6.45, BUY (信心度: 80.9%) [已评估]
sz000897: 81.8分, ¥2.48, BUY (信心度: 81.8%) [已评估]
sz000807: 82.3分, ¥16.76, BUY (信心度: 82.3%) [已评估]
sz002454: 80.3分, ¥8.57, BUY (信心度: 80.3%) [已评估]
sz002342: 83.6分, ¥7.47, BUY (信心度: 83.6%) [已评估]
sz002296: 80.7分, ¥11.84, BUY (信心度: 80.7%) [已评估]
sz002302: 81.5分, ¥7.76, BUY (信心度: 81.5%) [已评估]
sz002670: 82.1分, ¥16.13, BUY (信心度: 82.1%) [已评估]
sz002606: 81.9分, ¥9.86, BUY (信心度: 81.9%) [已评估]
sz002158: 81.1分, ¥18.36, BUY (信心度: 81.1%) [已评估]
sz002092: 81.9分, ¥4.84, BUY (信心度: 81.9%) [已评估]
sz002879: 81.7分, ¥16.67, BUY (信心度: 81.7%) [已评估]
sz300150: 80.6分, ¥5.48, BUY (信心度: 80.6%) [已评估]
sz002051: 81.2分, ¥8.91, BUY (信心度: 81.2%) [已评估]
sz002562: 81.3分, ¥6.21, BUY (信心度: 81.3%) [已评估]
sz000050: 80.5分, ¥9.73, BUY (信心度: 80.5%) [已评估]
sz002021: 82.8分, ¥2.49, BUY (信心度: 82.8%) [已评估]
sz000739: 80.4分, ¥16.76, BUY (信心度: 80.4%) [已评估]
sz003018: 82.6分, ¥12.65, BUY (信心度: 82.6%) [已评估]
sz002067: 82.3分, ¥4.52, BUY (信心度: 82.3%) [已评估]
