59:sz002772,2026-04-01,2026-04-02,2026-04-13,16.3200,17.8000,ADAPTIVE_MA_SUPPORT,持仓到期,0.0133,0.0853,-0.0001,6,-0.0245,16.8136,15.4753,205.2000,60,7,0,0.1796,0,0.0839,-0.1538
60:sh603901,2026-04-01,2026-04-02,2026-04-13,11.4600,13.0800,ADAPTIVE_MA_SUPPORT,持仓到期,0.1030,0.1298,-0.0102,6,-0.0311,11.9494,10.9983,205.0000,240,9,0,0.3771,0,0.0136,-0.1061
63:sz300473,2026-04-01,2026-04-07,2026-04-13,29.5000,33.1500,ADAPTIVE_MA_SUPPORT,持仓到期,0.0912,0.1147,0.0000,4,-0.0219,30.4032,27.8696,204.0000,200,21,0,0.2115,0,0.0079,-0.1593
66:sz300990,2026-04-01,2026-04-02,2026-04-13,75.5200,90.2200,ADAPTIVE_MA_SUPPORT,持仓到期,0.1540,0.1826,-0.0101,6,-0.0200,77.8464,71.3592,202.7000,120,16,0,0.2048,0,0.0129,-0.1111
68:sh600160,2026-04-01,2026-04-02,2026-04-13,33.4000,35.4400,ADAPTIVE_MA_SUPPORT,持仓到期,0.0084,0.0558,-0.0011,6,-0.0330,34.7127,31.9495,202.3000,200,8,0,0.2716,0,0.0307,-0.1066
69:sz300467,2026-04-01,2026-04-02,2026-04-13,27.1500,30.2600,ADAPTIVE_MA_SUPPORT,持仓到期,0.0630,0.0949,-0.0176,6,-0.0425,28.8636,26.5660,202.3000,120,8,0,0.2327,0,0.0264,-0.0837
72:sh600113,2026-04-01,2026-04-02,2026-04-13,45.0100,48.7800,ADAPTIVE_MA_SUPPORT,持仓到期,-0.0030,0.0313,-0.0350,6,-0.0527,49.2349,45.3158,201.8000,200,4,0,0.2962,0,0.0832,-0.1413
75:sz300249,2026-04-01,2026-04-02,2026-04-13,15.1100,17.6500,ADAPTIVE_MA_SUPPORT,持仓到期,0.1232,0.1486,-0.0167,6,-0.0381,15.9744,14.6432,201.1000,60,18,0,0.2500,0,0.0651,-0.1383
76:sh688365,2026-04-01,2026-04-03,2026-04-13,17.1500,19.6700,ADAPTIVE_MA_SUPPORT,持仓到期,0.0749,0.1466,0.0000,5,-0.0351,17.7792,16.2976,200.0000,150,37,0,0.6424,0,0.0167,-0.0950
79:sh603766,2026-04-01,2026-04-02,2026-04-13,13.4800,15.5200,ADAPTIVE_MA_SUPPORT,持仓到期,0.1062,0.1469,0.0000,6,-0.0200,13.8087,12.7095,199.6000,240,8,0,0.2216,0,0.0226,-0.1261
