47:sh000044,2026-04-01,,,4445.0200,4616.3500,ADAPTIVE_MA_SUPPORT,未成交,0.0000,0.0000,0.0000,0,0.0000,4502.4402,4144.0370,208.4000,200,9,0,0.0846,0,0.0154,-0.0511
48:sz002843,2026-04-01,,,20.3300,25.0000,ADAPTIVE_MA_SUPPORT,未成交,0.0000,0.0000,0.0000,0,0.0000,20.0160,18.3480,208.3000,90,12,0,0.4668,0,0.0329,-0.1399
49:sh688432,2026-04-01,,,13.2500,14.7400,ADAPTIVE_MA_SUPPORT,未成交,0.0000,0.0000,0.0000,0,0.0000,13.1136,12.0208,208.1000,120,27,0,0.3276,0,0.0293,-0.1065
50:sh605399,2026-04-01,,,13.5000,15.1800,ADAPTIVE_MA_SUPPORT,未成交,0.0000,0.0000,0.0000,0,0.0000,13.4304,12.3112,207.9000,200,19,0,0.2195,0,0.0236,-0.1204
51:sz002483,2026-04-01,,,6.5800,7.1000,ADAPTIVE_MA_SUPPORT,未成交,0.0000,0.0000,0.0000,0,0.0000,6.6528,6.0984,207.9000,200,20,0,0.2011,0,0.0167,-0.1375
52:sh688334,2026-04-01,,,20.6200,21.6900,ADAPTIVE_MA_SUPPORT,未成交,0.0000,0.0000,0.0000,0,0.0000,20.1984,18.5152,207.7000,150,22,0,0.2461,0,0.0227,-0.0651
54:sz000060,2026-04-01,,,5.9600,6.4400,ADAPTIVE_MA_SUPPORT,未成交,0.0000,0.0000,0.0000,0,0.0000,5.9712,5.4736,207.5000,120,17,0,0.4813,0,0.0349,-0.1062
55:sh688199,2026-04-01,,,23.5200,26.6500,ADAPTIVE_MA_SUPPORT,未成交,0.0000,0.0000,0.0000,0,0.0000,23.9893,22.0798,206.1000,240,8,0,0.3815,0,0.0262,-0.1094
62:sh688448,2026-04-01,,,51.0400,57.9900,ADAPTIVE_MA_SUPPORT,未成交,0.0000,0.0000,0.0000,0,0.0000,51.1680,46.9040,204.2000,90,20,0,0.3350,0,0.0689,-0.0789
64:sz000779,2026-04-01,,,8.3900,9.0300,ADAPTIVE_MA_SUPPORT,未成交,0.0000,0.0000,0.0000,0,0.0000,8.6112,7.8936,203.7000,120,36,0,0.2216,0,-0.0002,-0.0934
67:sh688326,2026-04-01,,,110.8800,119.6600,ADAPTIVE_MA_SUPPORT,未成交,0.0000,0.0000,0.0000,0,0.0000,112.9920,103.5760,202.7000,120,17,0,0.3907,0,0.0041,-0.1057
70:sz000803,2026-04-01,,,8.0500,8.9500,ADAPTIVE_MA_SUPPORT,未成交,0.0000,0.0000,0.0000,0,0.0000,8.0064,7.3392,202.1000,90,30,0,0.3520,0,0.0580,-0.1352
71:sh688155,2026-04-01,,,72.2100,82.7900,ADAPTIVE_MA_SUPPORT,未成交,0.0000,0.0000,0.0000,0,0.0000,71.7792,65.7976,202.1000,90,20,0,0.3566,0,0.0469,-0.1128
73:sh603379,2026-04-01,,,60.6100,64.3900,ADAPTIVE_MA_SUPPORT,未成交,0.0000,0.0000,0.0000,0,0.0000,59.9904,54.9912,201.5000,90,30,0,0.2538,0,0.0372,-0.0958
74:sz002925,2026-04-01,,,18.7800,20.3700,ADAPTIVE_MA_SUPPORT,未成交,0.0000,0.0000,0.0000,0,0.0000,18.9696,17.3888,201.4000,120,23,0,0.2297,0,0.0199,-0.1216
77:sz003039,2026-04-01,,,14.1600,14.9700,ADAPTIVE_MA_SUPPORT,未成交,0.0000,0.0000,0.0000,0,0.0000,14.0736,12.9008,200.0000,200,22,0,0.2647,0,0.0132,-0.1161
78:sh601005,2026-04-01,,,1.3800,1.4400,ADAPTIVE_MA_SUPPORT,未成交,0.0000,0.0000,0.0000,0,0.0000,1.3920,1.2760,199.7000,240,32,0,0.1589,0,0.0074,-0.1118
