stock_code,strategy,signal_type,signal_strength,date,current_price,scan_timestamp
sh600123,深渊筑底策略,BUY,2,2025-08-22,6.8,2025-08-25 12:05:26
sh603111,周线金叉+日线MA,BUY,1,2025-08-22,6.79,2025-08-25 12:05:26
sh600546,深渊筑底策略,BUY,2,2025-08-22,10.23,2025-08-25 12:05:25
sh605577,深渊筑底策略,BUY,2,2025-08-22,14.13,2025-08-25 12:05:26
sh603004,深渊筑底策略,BUY,2,2025-08-22,22.89,2025-08-25 12:05:26
sh603721,深渊筑底策略,BUY,2,2025-08-22,20.0,2025-08-25 12:05:27
sh688141,价值反转策略（最终版）,BUY,2,2025-08-22,37.85,2025-08-25 12:05:26
sh688141,反转做多策略（优化版）,BUY,2,2025-08-22,37.85,2025-08-25 12:05:26
sh603261,深渊筑底策略,BUY,2,2025-08-22,21.78,2025-08-25 12:05:27
sh603348,深渊筑底策略,BUY,2,2025-08-22,22.05,2025-08-25 12:05:29
sh688522,价值反转策略（最终版）,BUY,2,2025-08-22,47.29,2025-08-25 12:05:28
sh688522,反转做多策略（优化版）,BUY,2,2025-08-22,47.29,2025-08-25 12:05:28
sh600199,深渊筑底策略,BUY,2,2025-08-22,11.15,2025-08-25 12:05:29
sz300208,深渊筑底策略,POTENTIAL_BUY,1,2025-07-18,0.28,2025-08-25 12:05:28
sz003032,深渊筑底策略,BUY,2,2025-08-22,6.95,2025-08-25 12:05:28
sz000595,深渊筑底策略,BUY,2,2025-08-22,5.09,2025-08-25 12:05:28
sz300268,深渊筑底策略,BUY,2,2025-08-22,11.17,2025-08-25 12:05:28
sz002526,周线金叉+日线MA,BUY,1,2025-08-22,4.09,2025-08-25 12:05:28
sz001378,深渊筑底策略,BUY,2,2025-08-22,23.12,2025-08-25 12:05:28
sz000627,反转做多策略（优化版）,BUY,2,2025-08-13,1.58,2025-08-25 12:05:28
sz000736,深渊筑底策略,BUY,2,2025-08-22,5.02,2025-08-25 12:05:28
sz002479,周线金叉+日线MA,BUY,1,2025-08-22,5.48,2025-08-25 12:05:29
sz002581,深渊筑底策略,POTENTIAL_BUY,1,2025-08-22,7.56,2025-08-25 12:05:28
sz002762,深渊筑底策略,BUY,2,2025-08-22,6.39,2025-08-25 12:05:30
sz002627,周线金叉+日线MA,BUY,1,2025-08-22,5.7,2025-08-25 12:05:32
sz002563,周线金叉+日线MA,BUY,1,2025-08-22,5.55,2025-08-25 12:05:32
sz002541,价值反转策略（最终版）,BUY,2,2025-08-22,18.44,2025-08-25 12:05:30
sz002541,反转做多策略（优化版）,BUY,2,2025-08-22,18.44,2025-08-25 12:05:30
sz002892,周线金叉+日线MA,BUY,1,2025-08-22,15.0,2025-08-25 12:05:31
sz002455,深渊筑底策略,BUY,2,2025-08-22,7.04,2025-08-25 12:05:31
sz001323,价值反转策略（最终版）,BUY,2,2025-08-22,30.53,2025-08-25 12:05:32
sz002531,深渊筑底策略,BUY,2,2025-08-22,6.99,2025-08-25 12:05:32
sz300859,价值反转策略（最终版）,BUY,2,2025-08-22,45.08,2025-08-25 12:05:32
sz300859,反转做多策略（优化版）,BUY,2,2025-08-22,45.08,2025-08-25 12:05:32
sz002039,反转做多策略（优化版）,BUY,2,2025-08-22,16.21,2025-08-25 12:05:33
sz300175,深渊筑底策略,BUY,2,2025-08-22,5.75,2025-08-25 12:05:31
sz000518,深渊筑底策略,BUY,2,2025-08-22,2.39,2025-08-25 12:05:31
sz000820,深渊筑底策略,BUY,2,2025-08-22,2.82,2025-08-25 12:05:33
sz000651,价值反转策略（最终版）,BUY,2,2025-08-22,47.11,2025-08-25 12:05:31
sz000651,反转做多策略（优化版）,BUY,2,2025-08-22,47.11,2025-08-25 12:05:31
sz002290,反转做多策略（优化版）,BUY,2,2025-08-22,32.89,2025-08-25 12:05:33
sz002789,深渊筑底策略,BUY,2,2025-08-22,8.95,2025-08-25 12:05:33
sz002529,深渊筑底策略,BUY,2,2025-08-22,6.57,2025-08-25 12:05:33
sz002766,周线金叉+日线MA,BUY,1,2025-08-22,5.5,2025-08-25 12:05:33
bj430476,价值反转策略（最终版）,BUY,2,2025-08-22,30.06,2025-08-25 12:05:35
bj836699,价值反转策略（最终版）,BUY,2,2025-08-22,61.5,2025-08-25 12:05:33
bj836699,反转做多策略（优化版）,BUY,2,2025-08-22,61.5,2025-08-25 12:05:33
