stock_code,strategy,signal_type,signal_strength,date,current_price,scan_timestamp
sh600123,深渊筑底策略,BUY,2,2025-08-19,6.76,2025-08-19 19:04:36
sh600054,周线金叉+日线MA,BUY,1,2025-08-19,12.01,2025-08-19 19:04:36
sh603270,周线金叉+日线MA,BUY,1,2025-08-19,27.82,2025-08-19 19:04:36
sh600546,深渊筑底策略,BUY,2,2025-08-19,10.2,2025-08-19 19:04:35
sh605577,深渊筑底策略,BUY,2,2025-08-19,13.81,2025-08-19 19:04:36
sh600026,深渊筑底策略,BUY,2,2025-08-19,10.11,2025-08-19 19:04:36
sh603366,深渊筑底策略,BUY,2,2025-08-19,9.78,2025-08-19 19:04:35
sh603721,深渊筑底策略,BUY,2,2025-08-19,19.61,2025-08-19 19:04:37
sh601811,周线金叉+日线MA,BUY,1,2025-08-19,15.69,2025-08-19 19:04:35
sh603261,深渊筑底策略,BUY,2,2025-08-19,21.78,2025-08-19 19:04:36
sh603348,深渊筑底策略,BUY,2,2025-08-19,21.82,2025-08-19 19:04:38
sh600199,深渊筑底策略,BUY,2,2025-08-19,10.87,2025-08-19 19:04:38
sh603656,周线金叉+日线MA,BUY,1,2025-08-19,19.61,2025-08-19 19:04:37
sz300208,深渊筑底策略,POTENTIAL_BUY,1,2025-07-18,0.28,2025-08-19 19:04:38
sz003032,深渊筑底策略,BUY,2,2025-08-19,6.66,2025-08-19 19:04:37
sz000595,深渊筑底策略,BUY,2,2025-08-19,4.96,2025-08-19 19:04:37
sz300268,深渊筑底策略,BUY,2,2025-08-19,11.48,2025-08-19 19:04:37
sz002526,周线金叉+日线MA,BUY,1,2025-08-19,4.06,2025-08-19 19:04:37
sz001378,深渊筑底策略,BUY,2,2025-08-19,23.13,2025-08-19 19:04:37
sz000736,深渊筑底策略,BUY,2,2025-08-19,4.93,2025-08-19 19:04:37
sz002581,深渊筑底策略,POTENTIAL_BUY,1,2025-08-19,7.69,2025-08-19 19:04:37
sz003004,深渊筑底策略,BUY,2,2025-08-19,19.12,2025-08-19 19:04:39
sz002762,深渊筑底策略,BUY,2,2025-08-19,6.33,2025-08-19 19:04:39
sz002033,周线金叉+日线MA,BUY,1,2025-08-19,9.03,2025-08-19 19:04:40
sz300338,深渊筑底策略,BUY,2,2025-08-19,3.85,2025-08-19 19:04:39
sz300193,周线金叉+日线MA,BUY,1,2025-08-19,9.74,2025-08-19 19:04:39
sz002455,深渊筑底策略,BUY,2,2025-08-19,6.94,2025-08-19 19:04:39
sz002521,深渊筑底策略,BUY,2,2025-08-19,8.88,2025-08-19 19:04:40
sz002531,深渊筑底策略,BUY,2,2025-08-19,6.87,2025-08-19 19:04:40
sz000410,周线金叉+日线MA,BUY,1,2025-08-19,6.84,2025-08-19 19:04:39
sz002630,深渊筑底策略,BUY,2,2025-08-19,2.5,2025-08-19 19:04:39
sz300175,深渊筑底策略,BUY,2,2025-08-19,5.88,2025-08-19 19:04:39
sz000518,深渊筑底策略,BUY,2,2025-08-19,2.24,2025-08-19 19:04:39
sz001300,深渊筑底策略,BUY,2,2025-08-19,13.37,2025-08-19 19:04:40
sz000820,深渊筑底策略,BUY,2,2025-08-19,2.7,2025-08-19 19:04:41
sz300237,周线金叉+日线MA,BUY,1,2025-08-19,2.53,2025-08-19 19:04:40
sz002789,深渊筑底策略,BUY,2,2025-08-19,8.58,2025-08-19 19:04:41
sz002529,深渊筑底策略,BUY,2,2025-08-19,6.39,2025-08-19 19:04:41
sz002766,周线金叉+日线MA,BUY,1,2025-08-19,5.47,2025-08-19 19:04:41
