stock_code,strategy,signal_type,signal_strength,date,current_price,scan_timestamp
sh600123,深渊筑底策略,BUY,2,2025-08-20,6.79,2025-08-20 19:08:53
sh600546,深渊筑底策略,BUY,2,2025-08-20,10.22,2025-08-20 19:08:52
sh605577,深渊筑底策略,BUY,2,2025-08-20,14.07,2025-08-20 19:08:52
sh600026,深渊筑底策略,BUY,2,2025-08-20,10.18,2025-08-20 19:08:53
sh603721,深渊筑底策略,BUY,2,2025-08-20,20.03,2025-08-20 19:08:54
sh603261,深渊筑底策略,BUY,2,2025-08-20,21.67,2025-08-20 19:08:53
sh603348,深渊筑底策略,BUY,2,2025-08-20,22.2,2025-08-20 19:08:55
sz300208,深渊筑底策略,POTENTIAL_BUY,1,2025-07-18,0.28,2025-08-20 19:08:55
sz003032,深渊筑底策略,BUY,2,2025-08-20,6.75,2025-08-20 19:08:54
sz000595,深渊筑底策略,BUY,2,2025-08-20,4.98,2025-08-20 19:08:54
sz300268,深渊筑底策略,BUY,2,2025-08-20,11.23,2025-08-20 19:08:54
sz001378,深渊筑底策略,BUY,2,2025-08-20,23.24,2025-08-20 19:08:54
sz000736,深渊筑底策略,BUY,2,2025-08-20,4.96,2025-08-20 19:08:54
sz002581,深渊筑底策略,POTENTIAL_BUY,1,2025-08-20,7.73,2025-08-20 19:08:54
sz003004,深渊筑底策略,BUY,2,2025-08-20,19.28,2025-08-20 19:08:55
sz002762,深渊筑底策略,BUY,2,2025-08-20,6.43,2025-08-20 19:08:56
sz300995,周线金叉+日线MA,BUY,1,2025-08-20,63.49,2025-08-20 19:08:57
sz000895,周线金叉+日线MA,BUY,1,2025-08-20,25.4,2025-08-20 19:08:57
sz002455,深渊筑底策略,BUY,2,2025-08-20,7.01,2025-08-20 19:08:56
sz002521,深渊筑底策略,BUY,2,2025-08-20,9.07,2025-08-20 19:08:57
sz002630,深渊筑底策略,BUY,2,2025-08-20,2.63,2025-08-20 19:08:56
sz300175,深渊筑底策略,BUY,2,2025-08-20,5.75,2025-08-20 19:08:56
sz000518,深渊筑底策略,BUY,2,2025-08-20,2.3,2025-08-20 19:08:56
sz001300,深渊筑底策略,BUY,2,2025-08-20,13.61,2025-08-20 19:08:57
sz000820,深渊筑底策略,BUY,2,2025-08-20,2.83,2025-08-20 19:08:58
sz002789,深渊筑底策略,BUY,2,2025-08-20,9.01,2025-08-20 19:08:58
sz002529,深渊筑底策略,BUY,2,2025-08-20,6.56,2025-08-20 19:08:58
