stock_code,strategy,signal_type,signal_strength,date,current_price,scan_timestamp
sh600123,深渊筑底策略,BUY,2,2025-08-14,6.78,2025-08-15 15:21:16
sh603517,周线金叉+日线MA,BUY,1,2025-08-14,15.57,2025-08-15 15:21:17
sh600171,周线金叉+日线MA,BUY,1,2025-08-14,34.77,2025-08-15 15:21:17
sh600355,深渊筑底策略,BUY,2,2025-08-14,3.36,2025-08-15 15:21:17
sh603178,深渊筑底策略,BUY,2,2025-08-14,18.3,2025-08-15 15:21:16
sh600054,周线金叉+日线MA,BUY,1,2025-08-14,11.78,2025-08-15 15:21:16
sh600546,深渊筑底策略,BUY,2,2025-08-14,10.06,2025-08-15 15:21:16
sh600860,周线金叉+日线MA,BUY,1,2025-08-14,12.88,2025-08-15 15:21:16
sh600702,深渊筑底策略,BUY,2,2025-08-14,53.58,2025-08-15 15:21:17
sh688209,周线金叉+日线MA,BUY,1,2025-08-14,19.29,2025-08-15 15:21:14
sh605577,深渊筑底策略,BUY,2,2025-08-14,13.32,2025-08-15 15:21:16
sh600026,深渊筑底策略,BUY,2,2025-08-14,10.07,2025-08-15 15:21:15
sh603366,深渊筑底策略,BUY,2,2025-08-14,9.61,2025-08-15 15:21:16
sh603721,深渊筑底策略,BUY,2,2025-08-14,19.22,2025-08-15 15:21:18
sh603261,深渊筑底策略,BUY,2,2025-08-14,20.73,2025-08-15 15:21:18
sh603348,深渊筑底策略,BUY,2,2025-08-14,21.03,2025-08-15 15:21:20
sh600199,深渊筑底策略,BUY,2,2025-08-14,10.44,2025-08-15 15:21:19
sh605108,深渊筑底策略,BUY,2,2025-08-14,19.48,2025-08-15 15:21:20
sh603231,深渊筑底策略,BUY,2,2025-08-14,17.2,2025-08-15 15:21:21
sh600756,周线金叉+日线MA,BUY,1,2025-08-14,15.39,2025-08-15 15:21:19
sz300208,深渊筑底策略,POTENTIAL_BUY,1,2025-07-18,0.28,2025-08-15 15:21:20
sz003025,周线金叉+日线MA,BUY,1,2025-08-14,14.46,2025-08-15 15:21:21
sz003032,深渊筑底策略,BUY,2,2025-08-14,6.47,2025-08-15 15:21:21
sz000595,深渊筑底策略,BUY,2,2025-08-14,4.98,2025-08-15 15:21:22
sz300603,周线金叉+日线MA,BUY,1,2025-08-14,12.14,2025-08-15 15:21:18
sz300268,深渊筑底策略,BUY,2,2025-08-14,10.45,2025-08-15 15:21:20
sz001378,深渊筑底策略,BUY,2,2025-08-14,23.25,2025-08-15 15:21:21
sz000736,深渊筑底策略,BUY,2,2025-08-14,4.81,2025-08-15 15:21:19
sz002581,深渊筑底策略,POTENTIAL_BUY,1,2025-08-14,7.29,2025-08-15 15:21:21
sz000723,深渊筑底策略,BUY,2,2025-08-14,4.51,2025-08-15 15:21:21
sz003004,深渊筑底策略,BUY,2,2025-08-14,18.77,2025-08-15 15:21:23
sz002662,周线金叉+日线MA,BUY,1,2025-08-14,3.57,2025-08-15 15:21:21
sz002762,深渊筑底策略,BUY,2,2025-08-14,6.4,2025-08-15 15:21:23
sz300908,周线金叉+日线MA,BUY,1,2025-08-14,30.32,2025-08-15 15:21:24
sz300338,深渊筑底策略,BUY,2,2025-08-14,3.83,2025-08-15 15:21:23
sz002521,深渊筑底策略,BUY,2,2025-08-14,8.86,2025-08-15 15:21:24
sz002531,深渊筑底策略,BUY,2,2025-08-14,6.53,2025-08-15 15:21:22
sz002101,周线金叉+日线MA,BUY,1,2025-08-14,12.9,2025-08-15 15:21:23
sz002630,深渊筑底策略,BUY,2,2025-08-14,2.47,2025-08-15 15:21:24
sz300175,深渊筑底策略,BUY,2,2025-08-14,5.25,2025-08-15 15:21:24
sz000518,深渊筑底策略,BUY,2,2025-08-14,2.27,2025-08-15 15:21:26
sz001300,深渊筑底策略,BUY,2,2025-08-14,13.11,2025-08-15 15:21:26
sz001333,周线金叉+日线MA,BUY,1,2025-08-14,22.02,2025-08-15 15:21:27
sz000820,深渊筑底策略,BUY,2,2025-08-14,2.68,2025-08-15 15:21:27
sz000536,周线金叉+日线MA,BUY,1,2025-08-14,4.85,2025-08-15 15:21:24
sz002239,周线金叉+日线MA,BUY,1,2025-08-14,2.94,2025-08-15 15:21:23
sz000810,周线金叉+日线MA,BUY,1,2025-08-14,11.65,2025-08-15 15:21:24
sz002789,深渊筑底策略,BUY,2,2025-08-14,8.43,2025-08-15 15:21:23
sz002529,深渊筑底策略,BUY,2,2025-08-14,6.39,2025-08-15 15:21:24
sz000521,深渊筑底策略,BUY,2,2025-08-14,7.21,2025-08-15 15:21:25
