stock_code,strategy,signal_type,signal_strength,date,current_price,scan_timestamp
sh600123,深渊筑底策略,BUY,2,2025-08-15,6.84,2025-08-15 17:47:28
sh688526,周线金叉+日线MA,BUY,1,2025-08-15,17.24,2025-08-15 17:47:28
sh603609,周线金叉+日线MA,BUY,1,2025-08-15,8.87,2025-08-15 17:47:29
sh603178,深渊筑底策略,BUY,2,2025-08-15,19.25,2025-08-15 17:47:28
sh600054,周线金叉+日线MA,BUY,1,2025-08-15,11.89,2025-08-15 17:47:28
sh600546,深渊筑底策略,BUY,2,2025-08-15,10.43,2025-08-15 17:47:27
sh600702,深渊筑底策略,BUY,2,2025-08-15,54.02,2025-08-15 17:47:29
sh605577,深渊筑底策略,BUY,2,2025-08-15,13.52,2025-08-15 17:47:28
sh600026,深渊筑底策略,BUY,2,2025-08-15,10.08,2025-08-15 17:47:27
sh603366,深渊筑底策略,BUY,2,2025-08-15,9.55,2025-08-15 17:47:28
sh603721,深渊筑底策略,BUY,2,2025-08-15,19.28,2025-08-15 17:47:29
sh603261,深渊筑底策略,BUY,2,2025-08-15,21.07,2025-08-15 17:47:29
sh600810,周线金叉+日线MA,BUY,1,2025-08-15,9.63,2025-08-15 17:47:32
sh603348,深渊筑底策略,BUY,2,2025-08-15,21.42,2025-08-15 17:47:32
sh600199,深渊筑底策略,BUY,2,2025-08-15,10.47,2025-08-15 17:47:30
sh605108,深渊筑底策略,BUY,2,2025-08-15,19.69,2025-08-15 17:47:32
sz300208,深渊筑底策略,POTENTIAL_BUY,1,2025-07-18,0.28,2025-08-15 17:47:31
sz003032,深渊筑底策略,BUY,2,2025-08-15,6.6,2025-08-15 17:47:33
sz000595,深渊筑底策略,BUY,2,2025-08-15,4.96,2025-08-15 17:47:34
sz300268,深渊筑底策略,BUY,2,2025-08-15,10.99,2025-08-15 17:47:32
sz001378,深渊筑底策略,BUY,2,2025-08-15,23.33,2025-08-15 17:47:33
sz001358,深渊筑底策略,BUY,2,2025-08-15,24.69,2025-08-15 17:47:33
sz000736,深渊筑底策略,BUY,2,2025-08-15,4.85,2025-08-15 17:47:30
sz002581,深渊筑底策略,POTENTIAL_BUY,1,2025-08-15,7.24,2025-08-15 17:47:33
sz003004,深渊筑底策略,BUY,2,2025-08-15,19.22,2025-08-15 17:47:35
sz000420,周线金叉+日线MA,BUY,1,2025-08-15,4.19,2025-08-15 17:47:30
sz002762,深渊筑底策略,BUY,2,2025-08-15,6.43,2025-08-15 17:47:35
sz300338,深渊筑底策略,BUY,2,2025-08-15,3.89,2025-08-15 17:47:34
sz002455,深渊筑底策略,BUY,2,2025-08-15,6.87,2025-08-15 17:47:36
sz002521,深渊筑底策略,BUY,2,2025-08-15,8.91,2025-08-15 17:47:36
sz002531,深渊筑底策略,BUY,2,2025-08-15,6.87,2025-08-15 17:47:34
sz002630,深渊筑底策略,BUY,2,2025-08-15,2.47,2025-08-15 17:47:36
sz300175,深渊筑底策略,BUY,2,2025-08-15,5.45,2025-08-15 17:47:36
sz000518,深渊筑底策略,BUY,2,2025-08-15,2.28,2025-08-15 17:47:38
sz001300,深渊筑底策略,BUY,2,2025-08-15,13.12,2025-08-15 17:47:38
sz000820,深渊筑底策略,BUY,2,2025-08-15,2.68,2025-08-15 17:47:39
sz002224,周线金叉+日线MA,BUY,1,2025-08-15,4.71,2025-08-15 17:47:38
sz002789,深渊筑底策略,BUY,2,2025-08-15,8.49,2025-08-15 17:47:35
sz002529,深渊筑底策略,BUY,2,2025-08-15,6.44,2025-08-15 17:47:35
sz000521,深渊筑底策略,BUY,2,2025-08-15,7.32,2025-08-15 17:47:36
31#00663,深渊筑底策略,BUY,2,2025-08-15,0.10200000554323196,2025-08-15 17:47:41
