stock_code,strategy,signal_type,signal_strength,date,current_price,scan_timestamp
sh600123,深渊筑底策略,BUY,2,2025-08-19,6.76,2025-08-19 19:03:30
sh600054,周线金叉+日线MA,BUY,1,2025-08-19,12.01,2025-08-19 19:03:30
sh603270,周线金叉+日线MA,BUY,1,2025-08-19,27.82,2025-08-19 19:03:30
sh600546,深渊筑底策略,BUY,2,2025-08-19,10.2,2025-08-19 19:03:29
sh605577,深渊筑底策略,BUY,2,2025-08-19,13.81,2025-08-19 19:03:30
sh600026,深渊筑底策略,BUY,2,2025-08-19,10.11,2025-08-19 19:03:30
sh603366,深渊筑底策略,BUY,2,2025-08-19,9.78,2025-08-19 19:03:30
sh603721,深渊筑底策略,BUY,2,2025-08-19,19.61,2025-08-19 19:03:31
sh601811,周线金叉+日线MA,BUY,1,2025-08-19,15.69,2025-08-19 19:03:30
sh603261,深渊筑底策略,BUY,2,2025-08-19,21.78,2025-08-19 19:03:31
sh603348,深渊筑底策略,BUY,2,2025-08-19,21.82,2025-08-19 19:03:32
sh600199,深渊筑底策略,BUY,2,2025-08-19,10.87,2025-08-19 19:03:32
sh603656,周线金叉+日线MA,BUY,1,2025-08-19,19.61,2025-08-19 19:03:31
sz300208,深渊筑底策略,POTENTIAL_BUY,1,2025-07-18,0.28,2025-08-19 19:03:32
sz003032,深渊筑底策略,BUY,2,2025-08-19,6.66,2025-08-19 19:03:32
sz000595,深渊筑底策略,BUY,2,2025-08-19,4.96,2025-08-19 19:03:31
sz300268,深渊筑底策略,BUY,2,2025-08-19,11.48,2025-08-19 19:03:31
sz002526,周线金叉+日线MA,BUY,1,2025-08-19,4.06,2025-08-19 19:03:32
sz001378,深渊筑底策略,BUY,2,2025-08-19,23.13,2025-08-19 19:03:31
sz000736,深渊筑底策略,BUY,2,2025-08-19,4.93,2025-08-19 19:03:31
sz002581,深渊筑底策略,POTENTIAL_BUY,1,2025-08-19,7.69,2025-08-19 19:03:31
sz003004,深渊筑底策略,BUY,2,2025-08-19,19.12,2025-08-19 19:03:33
sz002762,深渊筑底策略,BUY,2,2025-08-19,6.33,2025-08-19 19:03:33
sz002033,周线金叉+日线MA,BUY,1,2025-08-19,9.03,2025-08-19 19:03:34
sz300338,深渊筑底策略,BUY,2,2025-08-19,3.85,2025-08-19 19:03:33
sz300193,周线金叉+日线MA,BUY,1,2025-08-19,9.74,2025-08-19 19:03:33
sz002455,深渊筑底策略,BUY,2,2025-08-19,6.94,2025-08-19 19:03:33
sz002521,深渊筑底策略,BUY,2,2025-08-19,8.88,2025-08-19 19:03:34
sz002531,深渊筑底策略,BUY,2,2025-08-19,6.87,2025-08-19 19:03:34
sz000410,周线金叉+日线MA,BUY,1,2025-08-19,6.84,2025-08-19 19:03:33
sz002630,深渊筑底策略,BUY,2,2025-08-19,2.5,2025-08-19 19:03:33
sz300175,深渊筑底策略,BUY,2,2025-08-19,5.88,2025-08-19 19:03:34
sz000518,深渊筑底策略,BUY,2,2025-08-19,2.24,2025-08-19 19:03:33
sz001300,深渊筑底策略,BUY,2,2025-08-19,13.37,2025-08-19 19:03:34
sz000820,深渊筑底策略,BUY,2,2025-08-19,2.7,2025-08-19 19:03:35
sz300237,周线金叉+日线MA,BUY,1,2025-08-19,2.53,2025-08-19 19:03:34
sz002789,深渊筑底策略,BUY,2,2025-08-19,8.58,2025-08-19 19:03:35
sz002529,深渊筑底策略,BUY,2,2025-08-19,6.39,2025-08-19 19:03:36
sz002766,周线金叉+日线MA,BUY,1,2025-08-19,5.47,2025-08-19 19:03:35
31#00663,深渊筑底策略,BUY,2,2025-08-19,0.10200000554323196,2025-08-19 19:03:36
31#01198,深渊筑底策略,POTENTIAL_BUY,1,2025-08-19,0.2600000202655792,2025-08-19 19:03:37
31#01143,深渊筑底策略,POTENTIAL_BUY,1,2025-08-19,0.4650000333786011,2025-08-19 19:03:38
31#01622,深渊筑底策略,POTENTIAL_BUY,1,2025-08-19,0.09300000220537186,2025-08-19 19:03:35
31#02416,深渊筑底策略,POTENTIAL_BUY,1,2025-08-19,2.5300002098083496,2025-08-19 19:03:35
31#00126,深渊筑底策略,POTENTIAL_BUY,1,2025-08-19,0.12200000882148743,2025-08-19 19:03:35
31#01490,深渊筑底策略,BUY,2,2025-08-19,0.20100000500679016,2025-08-19 19:03:36
31#01569,深渊筑底策略,BUY,2,2025-08-19,0.17100000381469727,2025-08-19 19:03:36
31#01983,深渊筑底策略,BUY,2,2025-08-19,2.430000066757202,2025-08-19 19:03:36
31#00738,深渊筑底策略,POTENTIAL_BUY,1,2025-08-19,0.2550000250339508,2025-08-19 19:03:37
31#09938,深渊筑底策略,POTENTIAL_BUY,1,2025-08-19,0.13500000536441803,2025-08-19 19:03:37
31#01869,深渊筑底策略,POTENTIAL_BUY,1,2025-08-19,0.09400000423192978,2025-08-19 19:03:38
31#03616,深渊筑底策略,BUY,2,2025-08-19,0.2600000202655792,2025-08-19 19:03:38
31#03778,深渊筑底策略,POTENTIAL_BUY,1,2025-08-19,0.32500001788139343,2025-08-19 19:03:35
31#06899,深渊筑底策略,BUY,2,2025-08-19,0.1900000125169754,2025-08-19 19:03:36
31#00110,深渊筑底策略,POTENTIAL_BUY,1,2025-08-19,0.16600000858306885,2025-08-19 19:03:36
31#00185,深渊筑底策略,POTENTIAL_BUY,1,2025-08-19,0.12000000476837158,2025-08-19 19:03:36
31#02223,深渊筑底策略,POTENTIAL_BUY,1,2025-08-19,0.2800000011920929,2025-08-19 19:03:36
31#00201,深渊筑底策略,BUY,2,2025-08-19,0.07100000232458115,2025-08-19 19:03:36
31#06878,深渊筑底策略,POTENTIAL_BUY,1,2025-08-19,0.03700000047683716,2025-08-19 19:03:37
31#00361,深渊筑底策略,POTENTIAL_BUY,1,2025-08-19,0.04100000113248825,2025-08-19 19:03:37
31#00333,深渊筑底策略,POTENTIAL_BUY,1,2025-08-19,0.30000001192092896,2025-08-19 19:03:37
31#06918,深渊筑底策略,POTENTIAL_BUY,1,2025-08-19,0.20500001311302185,2025-08-19 19:03:37
31#01653,深渊筑底策略,POTENTIAL_BUY,1,2025-08-19,0.36000001430511475,2025-08-19 19:03:38
