group,stock_code,t0_date,buy_price,fine_score,status,entry_price,entry_day,stop_loss,tp1,tp2,median,upper,lower,exit_price,exit_reason,trigger_signal,pnl_pct,mfe,mae,hold_days,month,future_mfe_raw,hold_return_raw
fine_score_filtered,bj920970,2025-03-20 00:00:00,7.8,0.4539649996823644,traded,7.13,3.0,6.72307656968153,7.892867325628257,8.099300988442385,7.48,7.892867325628257,7.067132674371744,7.892867325628257,initial_tp,,0.10699401481462223,0.39831697054698467,-0.011220196353436195,1.0,2025-03,0.3667481662591687,0.1051282051282049
fine_score_filtered,sz002713,2025-03-21 00:00:00,7.0,0.4617111647784958,traded,5.38,4.0,4.9496,5.461491349509997,5.577237024264995,5.23,5.461491349509997,4.998508650490004,5.06,dynamic_stop,D4,-0.059479553903345805,0.039033457249070626,-0.08178438661710027,1.0,2025-03,0.0,-0.4142857142857143
fine_score_filtered,sz002406,2025-03-21 00:00:00,10.191164658634538,0.4301479590974212,traded,7.515983935742971,6.0,7.034759522929505,7.929912111260794,8.087880215083963,7.613975903614457,7.929912111260794,7.29803969596812,7.466987951807229,initial_stop,,-0.006518904823989535,0.0169491525423729,-0.015645371577575003,1.0,2025-03,0.0,-0.3105769230769231
fine_score_filtered,sz301396,2025-03-21 00:00:00,43.53160620286911,0.3926828593500951,traded,39.911609476525264,3.0,36.71868071840324,41.386842109593076,42.30011227571751,39.560301777344215,41.386842109593076,37.733761445095354,41.386842109593076,initial_tp,,0.03696249418193709,0.06569715524939404,-0.02985074626865689,1.0,2025-03,0.1783188405797102,-0.1671345029239767
fine_score_filtered,bj920819,2025-03-21 00:00:00,4.02,0.3241180957091598,traded,3.65,7.0,3.611614906877806,3.9027555053393783,3.9541332580090676,3.8,3.9027555053393783,3.6972444946606213,3.611614906877806,initial_stop,,-0.010516463869094217,0.03013698630136983,-0.02739726027397263,1.0,2025-03,0.2326732673267326,0.0820895522388061
fine_score_filtered,bj920533,2025-03-24 00:00:00,40.95536453758313,0.4489347041214691,traded,39.99008658551888,2.0,41.465983522676446,47.70958445620811,48.811396385654874,45.50596059731458,47.70958445620811,43.302336738421054,39.59171790688919,dynamic_stop,D4,-0.009961685823754896,0.03409961685823746,-0.03448275862068971,1.0,2025-03,0.0813887307911211,-0.0142162364384587
fine_score_filtered,bj920471,2025-03-24 00:00:00,17.175111163125724,0.4122296265750807,traded,15.586832646604622,6.0,14.339886034876253,18.175883488917524,18.86370624693082,16.80023797289093,18.175883488917524,15.424592456864335,14.985062525438238,dynamic_stop,D4,-0.038607594936709067,0.0620253164556962,-0.259493670886076,2.0,2025-03,0.1776390465380248,-0.0717978173463527
fine_score_filtered,bj920876,2025-03-24 00:00:00,29.44251968503937,0.4002000413903225,traded,29.522309711286088,1.0,28.645824603764755,36.61299092240367,38.0189614492223,33.801049868766405,36.61299092240367,30.989108815129143,27.42782152230971,dynamic_stop,D4,-0.07094594594594594,0.006418918918918856,-0.08783783783783784,1.0,2025-03,0.0176151761517615,-0.1429539295392953
fine_score_filtered,sh603007,2025-03-25 00:00:00,6.12,0.4686566369653153,traded,4.73,7.0,6.62079780070325,7.253201199616409,7.3648017994246135,7.03,7.253201199616409,6.806798800383591,4.49,dynamic_stop,D4,-0.05073995771670192,0.0,-0.05073995771670194,1.0,2025-03,0.0497427101200687,-0.2663398692810457
fine_score_filtered,bj920237,2025-03-25 00:00:00,22.934895790244457,0.4286255497794981,traded,22.363073516110997,2.0,22.043686806346127,27.23274073477634,28.148456133911083,25.401309936506852,27.23274073477634,23.569879138237365,21.35721746763527,dynamic_stop,D4,-0.044978434996919336,0.0027726432532345414,-0.08502772643253244,1.0,2025-03,0.0528817587641117,-0.0258335836587564
fine_score_filtered,bj920553,2025-03-25 00:00:00,11.08739228679427,0.4166772560772669,traded,9.520374176927346,5.0,9.644126968669246,11.052144996132999,11.300618765685424,10.555197457028145,11.052144996132999,10.058249917923291,9.461241418064443,dynamic_stop,D4,-0.006211180124223614,0.04968944099378895,-0.010351966873705883,1.0,2025-03,0.0612788632326819,-0.1457777777777777
fine_score_filtered,sh603007,2025-03-26 00:00:00,5.46,0.4832717146980966,traded,4.73,6.0,6.62079780070325,7.253201199616409,7.3648017994246135,7.03,7.253201199616409,6.806798800383591,4.49,dynamic_stop,D4,-0.05073995771670192,0.0,-0.05073995771670194,1.0,2025-03,0.0,-0.217948717948718
fine_score_filtered,bj920418,2025-03-26 00:00:00,32.98664648803601,0.3675991960927653,traded,29.8027958889686,3.0,32.19472441278709,37.26942723783434,38.164963030489744,35.47835565252355,37.26942723783434,33.68728406721275,28.744226636081734,dynamic_stop,D4,-0.03551912568306015,0.014754098360655723,-0.046448087431694,1.0,2025-03,0.0714285714285714,-0.0775117254998766
fine_score_filtered,sh605488,2025-03-27 00:00:00,33.546443398407554,0.4739800695793736,traded,32.114410100335206,2.0,34.757712321807105,37.739325861333995,38.26549295654462,36.68699167091274,37.739325861333995,35.634657480491484,30.48387713718353,dynamic_stop,D4,-0.050772626931567255,0.007505518763796891,-0.05518763796909492,1.0,2025-03,0.0276780054933447,0.0016906170752322
fine_score_filtered,bj920981,2025-03-27 00:00:00,38.98114126299773,0.3854625930726442,traded,32.35643925944712,5.0,33.05524887402806,40.44293459383128,41.746643838502436,37.83551610448897,40.44293459383128,35.22809761514665,29.767924118691354,dynamic_stop,D4,-0.07999999999999996,0.045874384236453285,-0.19919950738916245,1.0,2025-03,0.0645962732919254,-0.1213902376693073
fine_score_filtered,bj920547,2025-03-27 00:00:00,23.15972508591065,0.3174332220900932,traded,18.064982817869417,7.0,17.75328685301349,23.115767308540597,24.062087388927736,21.223127147766323,23.115767308540597,19.33048698699205,21.36216494845361,initial_stop,,0.18251786695986816,0.26388125343595364,-0.024189114898295914,2.0,2025-03,0.0430743243243243,-0.1166380789022297
fine_score_filtered,bj920171,2025-03-27 00:00:00,33.87,0.2807788918680657,traded,27.61,4.0,28.055103362942006,33.99721634748617,35.045824521229264,31.9,33.99721634748617,29.80278365251382,26.23,dynamic_stop,D4,-0.049981890619340774,0.0485331401666063,-0.160086925027164,1.0,2025-03,0.1063063063063065,-0.2990847357543549
fine_score_filtered,bj920099,2025-03-27 00:00:00,30.370992152678973,0.2652527021035858,traded,22.689740952231837,7.0,24.439625300047435,29.50931647985268,30.40396786452419,27.72001371050965,29.50931647985268,25.930710941166623,29.50931647985268,initial_tp,,0.30055766357041835,0.3534107402031931,-0.03265602322206098,6.0,2025-03,0.0,-0.1303876389265383
fine_score_filtered,bj920261,2025-03-27 00:00:00,12.74139372798468,0.2326206887780333,traded,11.39768653602818,2.0,10.915369667100858,11.95532710106862,12.138849001180578,11.588283300844704,11.95532710106862,11.221239500620788,10.702008344447865,dynamic_stop,D4,-0.06103678929765888,0.0275919732441471,-0.22240802675585278,3.0,2025-03,0.183345507669832,0.1099476439790576
fine_score_filtered,sh600126,2025-03-28 00:00:00,10.4,0.4250791729446323,traded,12.07,1.0,11.34339885277819,12.574509716666443,12.791764574999664,12.14,12.574509716666443,11.705490283333559,11.74,dynamic_stop,D4,-0.027340513670256805,0.00911350455675223,-0.058823529411764774,1.0,2025-03,0.1892393320964751,0.0586538461538461
fine_score_filtered,bj920489,2025-03-28 00:00:00,23.07092426661808,0.3916177145426455,traded,23.934223368207665,2.0,22.019485498751052,25.160093075747735,25.75318197315939,23.973915280924427,25.160093075747735,22.78773748610112,22.356469837716364,dynamic_stop,D4,-0.0659203980099502,0.022802653399668357,-0.09577114427860706,1.0,2025-03,0.1382450331125828,0.0025806451612904
fine_score_filtered,bj920834,2025-03-28 00:00:00,11.30993064582358,0.3821501307916627,traded,9.424942204852982,6.0,9.218384879665075,11.315386813968772,11.685445978845895,10.575268484214526,11.315386813968772,9.83515015446028,11.315386813968772,initial_tp,,0.2005789073319073,0.20307692307692327,-0.006153846153846103,10.0,2025-03,0.0025597269624573,-0.0538461538461538
fine_score_filtered,sh603011,2025-03-28 00:00:00,12.3,0.3400812506099553,traded,9.61,7.0,8.8412,10.839129899346371,11.218694849019556,10.08,10.839129899346371,9.320870100653629,10.839129899346371,initial_tp,,0.12790113416715632,0.1529656607700313,-0.027055150884495296,2.0,2025-03,0.0919970082273746,-0.2032520325203252
fine_score_filtered,sh600589,2025-03-28 00:00:00,6.7,0.3149130679684653,traded,7.5,1.0,7.22354365454324,8.083521642976415,8.235282464464621,7.78,8.083521642976415,7.476478357023586,7.26,dynamic_stop,D4,-0.03200000000000003,0.03866666666666667,-0.04266666666666671,1.0,2025-03,0.1112696148359486,0.0641791044776118
fine_score_filtered,sz300167,2025-03-28 00:00:00,4.0,0.2879234768407315,traded,3.48,6.0,3.4161321197106433,3.8702915710669217,3.9504373566003825,3.71,3.8702915710669217,3.5497084289330783,3.8702915710669217,initial_tp,,0.11215275030658667,0.11781609195402303,-0.0028735632183907434,1.0,2025-03,0.0552763819095478,-0.0799999999999999
