signal_idx,stock_code,t0_date,buy_price,fine_score,operable_score,status,pipeline_stage,trend,structure_strength,atr,n_supports,n_resistances,fused_supports_count,top_support_source,top_support_confidence,top_support_price,realtime_style,entry_price,entry_day_idx,entry_type,confirmation_type,entry_confidence,support_used_price,support_used_type,initial_stop,stop_reason,initial_tp,tp_levels,exit_date,exit_price,exit_reason,trigger_signal,total_pnl_pct,weighted_pnl_pct,total_hold_days,month,hold_return,future_mfe,filter_reason,shallow_features
0,bj920152,2025-02-21 00:00:00,20.5,2.176198812616781,0.2672924351486956,traded,completed,RANGE,0.6083333333333333,1.987905381805232,3.0,0.0,4.0,ma60_washed,0.9,13.892166666666666,deep_pullback,18.92,1.0,pullback,long_lower_shadow,0.67125,19.6343,poc,17.4064,"无有效支撑, 使用最大止损 8%",22.704,"[20.812, 22.704]",2,20.4,dynamic_stop,D4,0.07822410147991521,0.07822410147991521,1.0,2025-02,0.0507317073170732,0.4384999999999999,,
1,bj920171,2025-02-21 00:00:00,27.51,1.7515919905138555,0.26698381017760575,traded,completed,UP,0.8833333333333334,3.018771633210346,4.0,2.0,5.0,ma60_washed,0.9,22.621333333333332,deep_pullback,27.27,2.0,pullback,bullish_candle,0.8625,25.994000000000003,poc,25.0884,"形态止损: washout, 支撑 25.99 下方 0.75xATR=2.26 (被硬性止损 8% 截断)",32.0,"[29.68, 32.0]",3,32.0,initial_tp,,0.17345067840117356,0.17345067840117356,1.0,2025-02,0.1813885859687385,0.3754423213021938,,
2,bj920249,2025-02-21 00:00:00,14.96,1.383759578185085,0.26698381017760575,traded,completed,UP,0.7749999999999999,1.5826827971381603,4.0,1.0,5.0,ma60_washed,0.9,11.700166666666666,deep_pullback,19.0,7.0,pullback,bullish_candle,0.8462500000000001,15.086,poc,17.48,"形态止损: washout, 支撑 15.09 下方 0.75xATR=1.19 (被硬性止损 8% 截断)",22.8,"[20.9, 22.8]",8,17.48,initial_stop,,-0.07999999999999996,-0.07999999999999996,1.0,2025-02,-0.0033422459893048,0.4688524590163934,,
3,bj920092,2025-02-21 00:00:00,51.93932322053677,1.2602427210845335,0.26698381017760575,filtered,structure_filter,DOWN,0.39999999999999997,5.327890565055735,5.0,1.0,6.0,ma60_washed,0.9,40.553124854142354,,,,,,,,,,,,,,,,,,,,2025-02,-0.1284615384615385,0.1566037735849055,下降趋势中不做多 (趋势: DOWN),
4,bj920130,2025-02-21 00:00:00,21.8,1.2556745468836603,0.27494122608222177,expired,entry_expired,RANGE,0.35,2.2570615838675234,1.0,2.0,2.0,ma60_washed,0.9,19.148000000000003,,,,,,,,,,,,,,,,,,,,2025-02,0.5596330275229358,1.5339366515837105,,
5,bj920395,2025-02-21 00:00:00,14.905659490993468,1.2219793074308245,0.26698381017760575,expired,entry_expired,UP,0.8416666666666667,0.9942601219826221,4.0,1.0,5.0,ma60_washed,0.9,12.059529299624462,,,,,,,,,,,,,,,,,,,,2025-02,-0.0378787878787878,0.2060573282855597,,
6,bj920906,2025-02-21 00:00:00,25.67753272304481,1.1574932210421298,0.26698381017760575,traded,completed,UP,0.8333333333333334,2.6768222125589047,4.0,0.0,5.0,ma60_washed,0.9,21.035468718657164,deep_pullback,25.0226961080058,2.0,pullback,bullish_candle,0.8550000000000001,24.372820376414055,poc,23.020880419365337,"形态止损: washout, 支撑 24.37 下方 0.75xATR=2.01 (被硬性止损 8% 截断)",30.02723532960696,"[27.525, 30.0272]",4,26.2926822705057,dynamic_stop,D4,0.05075337034099925,0.05075337034099925,2.0,2025-02,0.044049459041731,0.4908684308609767,,
7,bj920522,2025-02-21 00:00:00,30.38593134169665,1.1488312375590355,0.23240989760421255,expired,entry_expired,UP,0.9083333333333333,2.386704672256719,4.0,0.0,5.0,swing_low,1.0,23.04266460078663,,,,,,,,,,,,,,,,,,,,2025-02,-0.023,0.2896666666666667,,
8,bj920627,2025-02-21 00:00:00,26.39766301173924,1.1100169505734694,0.27494122608222177,filtered,structure_filter,RANGE,0.6833333333333333,2.478281370644976,5.0,2.0,6.0,ma60_washed,0.9,23.64583740620773,,,,,,,,,,,,,,,,,,,,2025-02,0.0797592174567343,0.3683254631311297,上方空间不足: 阻力 0.7% vs 支撑 13.5%,
9,bj920556,2025-02-21 00:00:00,11.652955050988194,1.1018515312205095,0.2135552021861164,expired,entry_expired,UP,0.8666666666666666,1.5718469373371833,3.0,2.0,4.0,ma60_washed,0.9,8.486320099562247,,,,,,,,,,,,,,,,,,,,2025-02,-0.0833333333333333,0.0622047244094488,,
10,bj920876,2025-02-21 00:00:00,27.926509186351705,1.0897368459111674,0.2672924351486956,traded,completed,UP,0.75,3.1184030728258842,3.0,0.0,4.0,ma60_washed,0.9,21.898538932633418,deep_pullback,30.370078740157478,3.0,pullback,bullish_candle,0.8425,29.226288713910762,poc,27.94047244094488,"形态止损: washout, 支撑 29.23 下方 0.75xATR=2.34 (被硬性止损 8% 截断)",36.44409448818897,"[33.4071, 36.4441]",6,36.44409448818897,initial_tp,,0.19999999999999996,0.19999999999999996,3.0,2025-02,0.0457142857142858,0.4016954678839257,,
