====================================================================================================
B级股票长期跟踪报告
====================================================================================================
生成时间: 2025-08-27 16:20:36
B级股票数量: 438只

📋 B级筛选标准:
  • 置信度范围: 60% - 85%
  • 风险等级: 中, 低
  • 最低信号强度: 1
  • 最低预期收益: 5.0%
  • RSI范围: 20 - 40
  • 综合评分范围: 60 - 80分

📈 表现统计摘要
--------------------------------------------------
5日表现:
  平均涨幅: 0.90%
  胜率: 45.7% (172/376)
  最大涨幅: 21.66%
  最大跌幅: -20.77%

15日表现:
  平均涨幅: 1.35%
  胜率: 47.1% (177/376)
  最大涨幅: 29.02%
  最大跌幅: -20.77%

23日表现:
  平均涨幅: 1.40%
  胜率: 47.6% (179/376)
  最大涨幅: 29.02%
  最大跌幅: -20.77%

🥈 B级原因分布:
  universal_screeningB级: 421只
  RSI底部B级: 17只

📂 数据来源分布:
  universal_screening: 421只
  rsi_bottom: 17只

🔄 重复数据统计:
  有重复记录的股票: 436只
  总计去除重复记录: 2990条

📊 B级股票详细表现
----------------------------------------------------------------------------------------------------
序号   股票代码         回测日期         B级原因                           5日涨幅       15日涨幅      23日涨幅      当前价格      
----------------------------------------------------------------------------------------------------
1    sz300147     2025-08-14   universal_screeningB级 (信号强度2   +21.7%     +29.0%     +29.0%     ¥11.74    
2    31#06918     2025-08-15   universal_screeningB级 (信号强度1   +19.9%     +19.9%     +19.9%     ¥0.21     
3    31#01894     2025-08-15   universal_screeningB级 (信号强度2   +18.2%     +18.2%     +18.2%     ¥0.04     
4    sz000536     2025-08-14   universal_screeningB级 (信号强度1   +17.9%     +22.3%     +22.3%     ¥5.93     
5    sz002182     2025-08-14   universal_screeningB级 (信号强度2   +15.3%     +13.6%     +13.6%     ¥14.30    
6    31#01895     2025-08-15   universal_screeningB级 (信号强度2   +15.2%     +15.2%     +15.2%     ¥0.57     
7    31#02182     2025-08-15   universal_screeningB级 (信号强度1   +14.7%     +14.7%     +14.7%     ¥0.39     
8    sh603366     2025-08-15   universal_screeningB级 (信号强度2   +14.0%     +14.1%     +14.1%     ¥10.90    
9    48#08411     2025-08-15   universal_screeningB级 (信号强度1   +13.6%     +13.6%     +13.6%     ¥0.08     
10   48#08516     2025-08-15   universal_screeningB级 (信号强度1   +13.3%     +13.3%     +13.3%     ¥1.36     
11   sh600702     2025-08-15   universal_screeningB级 (信号强度2   +12.8%     +24.8%     +24.8%     ¥67.40    
12   sz300052     2025-08-14   universal_screeningB级 (信号强度2   +12.4%     +17.6%     +17.6%     ¥12.31    
13   31#02416     2025-08-15   universal_screeningB级 (信号强度1   +11.0%     +11.0%     +11.0%     ¥2.53     
14   sh688593     2025-08-14   universal_screeningB级 (信号强度1   +9.7%      +11.2%     +11.2%     ¥18.73    
15   31#01708     2025-08-15   universal_screeningB级 (信号强度1   +9.7%      +9.7%      +9.7%      ¥0.34     
16   bj838701     2025-08-14   universal_screeningB级 (信号强度1   +9.4%      +22.1%     +22.1%     ¥23.49    
17   31#01869     2025-08-15   universal_screeningB级 (信号强度1   +9.3%      +9.3%      +9.3%      ¥0.09     
18   31#00894     2025-08-15   universal_screeningB级 (信号强度2   +9.3%      +9.3%      +9.3%      ¥0.53     
19   sh688496     2025-08-14   universal_screeningB级 (信号强度2   +8.9%      +8.6%      +8.6%      ¥10.20    
20   31#01410     2025-08-15   universal_screeningB级 (信号强度1   +8.8%      +8.8%      +8.8%      ¥0.26     
21   sz300338     2025-08-15   universal_screeningB级 (信号强度2   +8.7%      +11.6%     +11.6%     ¥4.34     
22   31#00442     2025-08-15   universal_screeningB级 (信号强度1   +8.7%      +8.7%      +8.7%      ¥1.12     
23   31#06610     2025-08-15   universal_screeningB级 (信号强度1   +8.3%      +8.3%      +8.3%      ¥0.26     
24   31#03390     2025-08-15   universal_screeningB级 (信号强度3   +8.1%      +8.1%      +8.1%      ¥0.34     
25   sz000521     2025-08-15   universal_screeningB级 (信号强度2   +7.9%      +8.2%      +8.2%      ¥7.92     
26   sz000420     2025-08-15   universal_screeningB级 (信号强度1   +7.6%      +8.4%      +8.4%      ¥4.54     
27   48#08191     2025-08-15   universal_screeningB级 (信号强度1   +7.5%      +7.5%      +7.5%      ¥0.22     
28   48#08613     2025-08-15   universal_screeningB级 (信号强度1   +7.5%      +7.5%      +7.5%      ¥0.09     
29   sz000810     2025-08-14   universal_screeningB级 (信号强度1   +7.3%      +8.9%      +8.9%      ¥12.69    
30   sh600026     2025-08-15   universal_screeningB级 (信号强度2   +7.0%      +6.9%      +6.9%      ¥10.78    
31   48#08429     2025-08-15   universal_screeningB级 (信号强度1   +7.0%      +7.0%      +7.0%      ¥0.05     
32   31#00302     2025-08-15   universal_screeningB级 (信号强度1   +6.9%      +6.9%      +6.9%      ¥0.62     
33   31#01569     2025-08-15   universal_screeningB级 (信号强度2   +6.9%      +6.9%      +6.9%      ¥0.17     
34   sz300603     2025-08-14   universal_screeningB级 (信号强度1   +6.8%      +5.5%      +5.5%      ¥12.81    
35   31#01543     2025-08-15   universal_screeningB级 (信号强度1   +6.8%      +6.8%      +6.8%      ¥0.32     
36   sh600860     2025-08-14   universal_screeningB级 (信号强度1   +6.6%      +6.7%      +6.7%      ¥13.74    
37   31#02361     2025-08-15   universal_screeningB级 (信号强度2   +6.6%      +6.6%      +6.6%      ¥3.57     
