====================================================================================================
B级股票长期跟踪报告
====================================================================================================
生成时间: 2025-08-28 17:05:06
B级股票数量: 438只

📋 B级筛选标准:
  • 置信度范围: 60% - 85%
  • 风险等级: 中, 低
  • 最低信号强度: 1
  • 最低预期收益: 5.0%
  • RSI范围: 20 - 40
  • 综合评分范围: 60 - 80分

📈 表现统计摘要
--------------------------------------------------
5日表现:
  平均涨幅: 3.71%
  胜率: 76.5% (62/81)
  最大涨幅: 21.66%
  最大跌幅: -14.20%

15日表现:
  平均涨幅: 4.30%
  胜率: 70.4% (57/81)
  最大涨幅: 28.58%
  最大跌幅: -5.56%

23日表现:
  平均涨幅: 4.42%
  胜率: 66.7% (54/81)
  最大涨幅: 28.58%
  最大跌幅: -6.41%

🥈 B级原因分布:
  universal_screeningB级: 421只
  RSI底部B级: 17只

📂 数据来源分布:
  universal_screening: 421只
  rsi_bottom: 17只

🔄 重复数据统计:
  有重复记录的股票: 436只
  总计去除重复记录: 2990条

📊 B级股票详细表现
----------------------------------------------------------------------------------------------------
序号   股票代码         回测日期         B级原因                           5日涨幅       15日涨幅      23日涨幅      当前价格      
47   sh603348     2025-08-15   universal_screeningB级 (信号强度2   +2.9%      -0.1%      -0.1%      ¥21.40    
48   sz001333     2025-08-14   universal_screeningB级 (信号强度1   +2.7%      -4.4%      -4.4%      ¥21.06    
49   sz000595     2025-08-15   universal_screeningB级 (信号强度2   +2.6%      +11.5%     +11.5%     ¥5.53     
50   sz002455     2025-08-15   universal_screeningB级 (信号强度2   +2.5%      -0.3%      -0.3%      ¥6.85     
51   sh603231     2025-08-14   universal_screeningB级 (信号强度2   +2.3%      +3.5%      +3.5%      ¥17.81    
52   sh688526     2025-08-15   universal_screeningB级 (信号强度1   +2.3%      +6.7%      +6.7%      ¥18.40    
53   sz002531     2025-08-15   universal_screeningB级 (信号强度2   +1.7%      +0.3%      +0.3%      ¥6.89     
54   sz002224     2025-08-15   universal_screeningB级 (信号强度1   +1.7%      -1.1%      -1.1%      ¥4.66     
55   sh600054     2025-08-15   universal_screeningB级 (信号强度1   +1.7%      +0.8%      +0.8%      ¥11.98    
56   sz300268     2025-08-15   universal_screeningB级 (信号强度2   +1.6%      -1.2%      -1.2%      ¥10.86    
57   sz000903     2025-07-28   RSI底部B级 (置信度74.0%, 中风险)        +1.0%      +2.0%      -2.3%      ¥2.98     
