n,double_smooth,k,offset_coef,valid_signals,coverage,mean_dist,median_dist,mean_penetration,penetration_rate,score
15,True,0.5,0.98,4404,0.8288,0.2027,0.1811,0.1294,0.1712,0.6277
15,True,1.5,0.95,4404,0.9203,0.3494,0.321,0.1385,0.0797,0.6276
30,False,0.5,1.0,4404,0.7931,0.1497,0.1354,0.1237,0.2069,0.6269
10,True,0.5,0.98,4404,0.7877,0.1475,0.1362,0.1196,0.2123,0.6257
20,True,1.0,0.98,4404,0.8871,0.2944,0.2595,0.1483,0.1129,0.6256
20,True,0.5,0.95,4404,0.8801,0.2853,0.2526,0.1446,0.1199,0.6255
10,False,0.5,0.95,4404,0.7539,0.1003,0.097,0.1067,0.2461,0.6255
20,True,1.0,1.0,4404,0.8694,0.2685,0.2344,0.1443,0.1306,0.6253
20,True,1.5,1.02,4404,0.8865,0.2946,0.2564,0.1497,0.1135,0.6249
20,True,0.5,0.98,4404,0.851,0.246,0.2142,0.1403,0.149,0.6237
20,True,1.0,1.02,4404,0.8497,0.2437,0.2101,0.1412,0.1503,0.6235
20,True,1.5,1.0,4404,0.8978,0.3205,0.2815,0.1486,0.1022,0.623
25,False,0.5,1.0,4404,0.7707,0.1296,0.1175,0.1184,0.2293,0.6228
20,True,1.0,0.95,4404,0.9049,0.3353,0.2993,0.147,0.0951,0.6224
15,True,0.5,1.0,4404,0.8022,0.1786,0.1574,0.1284,0.1978,0.6218
20,True,0.5,1.0,4404,0.8304,0.2211,0.19,0.1395,0.1696,0.621
10,False,1.0,1.0,4404,0.7475,0.1055,0.1006,0.1053,0.2525,0.621
20,True,1.5,0.98,4404,0.9105,0.3474,0.3076,0.1515,0.0895,0.6207
15,False,1.0,1.02,4404,0.7523,0.1139,0.1048,0.1088,0.2477,0.6202
25,True,1.0,1.02,4404,0.8653,0.2773,0.2348,0.1542,0.1347,0.6186
25,True,1.0,1.0,4404,0.8812,0.3029,0.2595,0.1568,0.1188,0.6184
15,False,0.5,0.98,4404,0.7411,0.1011,0.0957,0.1099,0.2589,0.6182
25,True,0.5,0.98,4404,0.8653,0.2819,0.2407,0.1504,0.1347,0.618
25,True,0.5,0.95,4404,0.8933,0.3224,0.2799,0.1601,0.1067,0.6179
25,True,0.5,1.0,4404,0.8485,0.2563,0.2159,0.1498,0.1515,0.6174
25,True,1.0,0.98,4404,0.8965,0.3295,0.2852,0.1615,0.1035,0.6171
20,False,0.5,1.0,4404,0.743,0.1065,0.0975,0.1149,0.257,0.6166
25,True,1.5,1.02,4404,0.8921,0.3271,0.2809,0.1588,0.1079,0.6162
20,True,0.5,1.02,4404,0.8034,0.1971,0.1666,0.1361,0.1966,0.6153
20,True,1.5,0.95,4404,0.9273,0.39,0.3489,0.1574,0.0727,0.6152
30,False,0.5,1.02,4404,0.7539,0.1272,0.1131,0.12,0.2461,0.6148
10,True,0.5,1.0,4404,0.7514,0.1245,0.1135,0.1186,0.2486,0.6146
25,True,1.5,1.0,4404,0.9064,0.3536,0.3065,0.1653,0.0936,0.6141
15,True,0.5,1.02,4404,0.7723,0.1555,0.1347,0.1276,0.2277,0.6139
30,True,1.0,1.02,4404,0.8762,0.3068,0.2578,0.1674,0.1238,0.6126
25,True,0.5,1.02,4404,0.8206,0.2317,0.192,0.1422,0.1794,0.6124
25,True,1.0,0.95,4404,0.9133,0.3715,0.3258,0.1644,0.0867,0.6123
30,True,0.5,0.98,4404,0.8772,0.313,0.2634,0.1638,0.1228,0.6119
30,True,0.5,1.0,4404,0.859,0.2868,0.2381,0.1582,0.141,0.6118
25,True,1.5,0.98,4404,0.9173,0.3813,0.3331,0.1692,0.0827,0.6105
30,True,1.0,1.0,4404,0.886,0.3329,0.2829,0.1644,0.114,0.6102
30,True,0.5,1.02,4404,0.8356,0.2615,0.2139,0.1511,0.1644,0.6091
25,False,0.5,1.02,4404,0.7287,0.1074,0.0956,0.1161,0.2713,0.6089
30,True,0.5,0.95,4404,0.8971,0.3545,0.3033,0.1671,0.1029,0.6088
30,True,1.0,0.98,4404,0.8996,0.3601,0.3091,0.1687,0.1004,0.608
30,True,1.5,1.02,4404,0.8971,0.356,0.3069,0.1693,0.1029,0.6079
10,False,1.0,1.02,4404,0.7028,0.0838,0.0791,0.1059,0.2972,0.6051
30,True,1.5,1.0,4404,0.908,0.3831,0.3331,0.172,0.092,0.6047
25,True,1.5,0.95,4404,0.9287,0.4249,0.3752,0.1687,0.0713,0.6032
30,True,1.0,0.95,4404,0.9162,0.4031,0.3504,0.1743,0.0838,0.6023
10,True,0.5,1.02,4404,0.7123,0.1025,0.0917,0.1187,0.2877,0.6017
30,True,1.5,0.98,4404,0.9196,0.4113,0.3603,0.1788,0.0804,0.6007
15,False,0.5,1.0,4404,0.6921,0.0791,0.0738,0.1089,0.3079,0.6005
10,False,0.5,0.98,4404,0.6817,0.0666,0.0634,0.1071,0.3183,0.5994
20,False,0.5,1.02,4404,0.6916,0.0848,0.076,0.112,0.3084,0.598
30,True,1.5,0.95,4404,0.933,0.4559,0.4032,0.1866,0.067,0.5924
15,False,0.5,1.02,4404,0.6487,0.058,0.0527,0.112,0.3513,0.5846
10,False,0.5,1.0,4404,0.6219,0.0453,0.0421,0.1068,0.3781,0.576
10,False,0.5,1.02,4404,0.5656,0.0248,0.0217,0.1094,0.4344,0.5535
