signal_idx,stock_code,t0_date,zone_tag,dd_tier,position_ratio,trend_tag,golden_trend_t0,status,target_entry_price,actual_entry_price,entry_day_idx,tp_price,sl_price,exit_price,exit_day_idx,exit_reason,pnl
2348,bj920768,2025-09-02,high_trap,15~20%,0.907,bull_aligned,7.2503,high_trap_skip,,,,,,,,,
2349,sh688585,2025-09-02,high_zone,>20%,0.7374,neutral,55.539,simulated,78.85,78.85,1.0,91.41869,70.47613,91.41869,7.0,tp,0.1594
2350,bj920270,2025-09-02,main_wave,15~20%,0.5343,bull_aligned,15.4218,observe_expire,16.784190000000002,,,,,,,observe_expire,
2351,bj920670,2025-09-02,main_wave,>20%,0.4547,bull_aligned,13.0817,observe_expire,15.733889999999999,,,,,,,observe_expire,
2352,bj920556,2025-09-02,high_zone,>20%,0.7016,bull_aligned,9.812,observe_expire,10.907805,,,,,,,observe_expire,
2353,bj920580,2025-09-02,main_wave,10~15%,0.6356,neutral,12.6989,observe_expire,13.281912,,,,,,,observe_expire,
2354,bj920275,2025-09-02,main_wave,>20%,0.6213,neutral,8.9712,observe_expire,10.63926,,,,,,,observe_expire,
2355,sz300450,2025-09-02,high_trap,0~3%,1.0,bull_aligned,23.5106,high_trap_skip,,,,,,,,,
2356,bj920247,2025-09-02,main_wave,10~15%,0.6949,bull_aligned,16.666,observe_expire,24.5908944,,,,,,,observe_expire,
2357,bj920185,2025-09-02,high_trap,5~10%,0.8395,bull_aligned,20.1562,high_trap_skip,,,,,,,,,
2358,bj920274,2025-09-03,high_trap,>20%,1.0,bull_aligned,15.1198,high_trap_skip,,,,,,,,,
2359,bj920926,2025-09-03,main_wave,>20%,0.601,bull_aligned,15.3842,observe_expire,15.43752,,,,,,,observe_expire,
2360,bj920553,2025-09-03,high_trap,15~20%,0.8235,bull_aligned,8.8085,high_trap_skip,,,,,,,,,
2361,bj920223,2025-09-03,high_trap,>20%,1.0,bull_aligned,9.5228,high_trap_skip,,,,,,,,,
2362,bj920270,2025-09-03,main_wave,>20%,0.5437,bull_aligned,15.4537,observe_expire,16.882740000000002,,,,,,,observe_expire,
2363,bj920906,2025-09-03,main_wave,15~20%,0.6991,bull_aligned,21.1707,observe_expire,29.592360000000003,,,,,,,observe_expire,
2364,bj920509,2025-09-03,main_wave,10~15%,0.6423,bull_aligned,21.9082,observe_expire,26.4339552,,,,,,,observe_expire,
2365,bj920523,2025-09-03,high_trap,15~20%,0.858,bull_aligned,22.8231,high_trap_skip,,,,,,,,,
2366,bj920768,2025-09-03,high_trap,15~20%,0.9796,bull_aligned,7.2327,high_trap_skip,,,,,,,,,
2367,bj920699,2025-09-03,high_zone,10~15%,0.7862,bull_aligned,40.0539,simulated,60.714499999999994,60.714499999999994,0.0,67.271666,54.50340664999999,67.271666,11.0,tp,0.108
2368,bj920870,2025-09-03,main_wave,>20%,0.493,bull_aligned,16.4002,observe_expire,17.03943,,,,,,,observe_expire,
2369,bj920547,2025-09-03,high_zone,>20%,0.7874,bull_aligned,23.4715,observe_expire,26.3055,,,,,,,observe_expire,
2370,sh603367,2025-09-03,main_wave,>20%,0.5643,neutral,21.911,simulated,22.369590000000002,22.369590000000002,3.0,26.326770471000003,19.732215339000003,19.732215339000003,5.0,sl,-0.1179
2371,sh603119,2025-09-03,high_trap,10~15%,0.9803,bull_aligned,38.9542,high_trap_skip,,,,,,,,,
2372,sz300486,2025-09-03,high_trap,>20%,0.862,bull_aligned,10.369,high_trap_skip,,,,,,,,,
2373,sz300092,2025-09-03,main_wave,15~20%,0.6715,neutral,12.0431,observe_expire,12.18663,,,,,,,observe_expire,
2374,sz002620,2025-09-03,high_trap,10~15%,1.0,bull_aligned,3.8155,high_trap_skip,,,,,,,,,
2375,bj920932,2025-09-03,high_trap,10~15%,0.9003,bull_aligned,19.4749,high_trap_skip,,,,,,,,,
2376,sz301489,2025-09-03,high_trap,15~20%,0.9731,bull_aligned,72.3089,high_trap_skip,,,,,,,,,
2377,bj920926,2025-09-04,main_wave,>20%,0.6402,bull_aligned,15.376,observe_expire,15.79032,,,,,,,observe_expire,
2378,bj920274,2025-09-04,high_trap,>20%,1.0,bull_aligned,15.044,high_trap_skip,,,,,,,,,
2379,bj920523,2025-09-04,high_trap,15~20%,0.858,bull_aligned,22.7878,high_trap_skip,,,,,,,,,
2380,bj920223,2025-09-04,high_zone,>20%,0.7172,bull_aligned,9.4407,simulated,26.894499999999997,26.894499999999997,0.0,31.181483299999996,24.038304099999998,24.038304099999998,0.0,sl,-0.1062
2381,bj920906,2025-09-04,high_trap,10~15%,0.8867,bull_aligned,20.8011,high_trap_skip,,,,,,,,,
2382,bj920870,2025-09-04,high_trap,>20%,0.9991,bull_aligned,16.3173,high_trap_skip,,,,,,,,,
2383,bj920422,2025-09-04,main_wave,>20%,0.3785,bull_aligned,12.358,observe_expire,13.42728,,,,,,,observe_expire,
2384,bj920237,2025-09-04,main_wave,15~20%,0.5326,neutral,18.8691,observe_expire,20.18682,,,,,,,observe_expire,
