signal_idx,stock_code,t0_date,zone_tag,dd_tier,position_ratio,trend_tag,golden_trend_t0,support_score,ma_zone,_ind_config,status,target_entry_price,actual_entry_price,entry_day_idx,tp_price,sl_price,exit_price,exit_day_idx,exit_reason,pnl,gt_t0,gt_channel_width,gt_n,gt_k,gt_offset,tp_mult,sl_buffer,gt_at_entry,ema_h_at_entry,channel_at_entry,gap_at_entry,fwd_low,fwd_low_day,fwd_high,fwd_high_day,hold_low,hold_low_day,hold_high,hold_high_day,entry_type
454,bj920171,2025-03-27,high_trap,>20%,0.8077,bull_aligned,20.3895,5.0,transition,"('none', False)",order_timeout,20.3895,,,,,,,order_timeout,,20.3895,10.8479,16.0,2.0,0.95,2.0,0.03,,,,,23.1,21.0,36.84,0.0,,,,,none
998,bj920171,2025-05-14,main_wave,10~15%,0.5411,neutral,21.2967,5.0,transition,"('none', False)",order_timeout,21.2967,,,,,,,order_timeout,,21.2967,8.3384,19.0,2.0,0.95,2.0,0.03,,,,,27.5,9.0,36.91,18.0,,,,,none
1033,bj920171,2025-05-16,high_trap,5~10%,0.8119,neutral,21.1211,5.0,transition,"('none', False)",order_timeout,21.1211,,,,,,,order_timeout,,21.1211,8.4543,20.0,2.0,0.95,2.0,0.03,,,,,27.5,7.0,36.91,16.0,,,,,none
1373,bj920171,2025-06-16,high_zone,15~20%,0.7804,bull_aligned,22.3327,6.0,transition,"('none', False)",order_timeout,22.3327,,,,,,,order_timeout,,22.3327,8.2132,21.0,2.0,0.95,1.5,0.03,,,,,29.15,4.0,40.8,6.0,,,,,none
3538,bj920171,2025-12-17,abyss_bottom,5~10%,0.1332,neutral,18.5901,0.0,bottom,,low_support_skip,,,,,,,,low_support_skip,,,,,,,,,,,,,,,,,,,,,
3570,bj920171,2025-12-18,bottom_start,5~10%,0.2028,neutral,18.5697,1.0,bottom,,low_support_skip,,,,,,,,low_support_skip,,,,,,,,,,,,,,,,,,,,,
3586,bj920171,2025-12-19,main_wave,3~5%,0.3092,neutral,18.4272,1.0,bottom,,low_support_skip,,,,,,,,low_support_skip,,,,,,,,,,,,,,,,,,,,,
2,bj920249,2025-02-21,main_wave,10~15%,0.6436,bull_aligned,7.8446,4.0,transition,"('none', False)",simulated,7.8446,14.7617,0.0,17.4188,13.2855,13.2855,3.0,sl,-0.1,7.8446,3.898,24.0,2.0,0.95,2.0,0.03,,,,,13.0,5.0,22.4,7.0,13.17,3.0,15.46,0.0,60m
172,bj920249,2025-03-06,high_zone,>20%,0.7674,bull_aligned,8.7336,4.0,transition,"('none', False)",order_timeout,8.7336,,,,,,,order_timeout,,8.7336,4.4981,20.0,2.0,0.95,1.5,0.03,,,,,9.9,20.0,20.35,0.0,,,,,none
623,bj920249,2025-04-11,main_wave,10~15%,0.4528,bear_aligned,10.6935,3.0,transition,"('none', False)",order_timeout,10.6935,,,,,,,order_timeout,,10.6935,5.0021,22.0,2.0,0.95,2.0,0.03,,,,,13.32,10.0,17.38,18.0,,,,,none
738,bj920249,2025-04-21,main_wave,10~15%,0.4391,neutral,10.4115,4.0,transition,"('none', False)",order_timeout,10.4115,,,,,,,order_timeout,,10.4115,4.9886,23.0,2.0,0.95,2.0,0.03,,,,,13.32,4.0,17.38,12.0,,,,,none
847,bj920249,2025-04-29,main_wave,0~3%,0.3928,neutral,10.5186,4.0,transition,"('none', False)",order_timeout,10.5186,,,,,,,order_timeout,,10.5186,4.8237,23.0,2.0,0.95,2.0,0.03,,,,,14.21,0.0,17.38,6.0,,,,,none
877,bj920249,2025-04-30,main_wave,5~10%,0.3449,neutral,10.5746,4.0,transition,"('none', False)",simulated,10.5746,16.0503,11.0,18.9394,14.4453,14.4453,13.0,sl,-0.1,10.5746,4.7483,22.0,2.0,0.95,2.0,0.03,,,,,14.42,13.0,17.38,5.0,14.42,13.0,16.3,11.0,60m
3,bj920092,2025-02-21,main_wave,15~20%,0.6716,bull_aligned,27.4439,4.0,transition,"('none', False)",simulated,27.4439,49.8884,0.0,58.8683,44.8995,58.8683,3.0,tp,0.18,27.4439,13.5921,24.0,2.0,0.95,2.0,0.03,,,,,42.7501,20.0,61.2285,3.0,47.934,1.0,61.2285,3.0,60m
69,bj920092,2025-02-26,main_wave,15~20%,0.688,bull_aligned,28.2799,4.0,transition,"('none', False)",order_timeout,28.2799,,,,,,,order_timeout,,28.2799,14.5164,22.0,2.0,0.95,2.0,0.03,,,,,42.7501,17.0,61.2285,0.0,,,,,none
87,bj920092,2025-02-27,main_wave,>20%,0.6583,bull_aligned,28.718,4.0,transition,"('none', False)",order_timeout,28.718,,,,,,,order_timeout,,28.718,14.8337,21.0,2.0,0.95,2.0,0.03,,,,,40.4527,21.0,59.93,4.0,,,,,none
3471,bj920092,2025-12-11,abyss_bottom,0~3%,0.0353,bear_aligned,28.5905,0.0,bottom,,low_support_skip,,,,,,,,low_support_skip,,,,,,,,,,,,,,,,,,,,,
3519,bj920092,2025-12-16,abyss_bottom,5~10%,0.0722,bear_aligned,27.8811,0.0,bottom,,low_support_skip,,,,,,,,low_support_skip,,,,,,,,,,,,,,,,,,,,,
3621,bj920092,2025-12-23,main_wave,5~10%,0.5934,neutral,27.6718,4.0,transition,"('none', False)",order_timeout,27.6718,,,,,,,order_timeout,,27.6718,6.6172,21.0,1.969,0.95,2.0,0.03,,,,,36.69,5.0,54.8,14.0,,,,,none
3646,bj920092,2025-12-25,main_wave,5~10%,0.4647,bull_aligned,27.5269,4.0,transition,"('none', False)",order_timeout,27.5269,,,,,,,order_timeout,,27.5269,7.5085,23.0,2.0,0.95,2.0,0.03,,,,,36.69,3.0,54.8,12.0,,,,,none
3743,bj920092,2026-01-06,main_wave,>20%,0.3419,bull_aligned,27.2422,2.0,bottom,,low_support_skip,,,,,,,,low_support_skip,,,,,,,,,,,,,,,,,,,,,
3751,bj920092,2026-01-07,main_wave,15~20%,0.349,bull_aligned,27.3205,3.0,transition,"('none', False)",order_timeout,27.3205,,,,,,,order_timeout,,27.3205,9.4306,23.0,2.0,0.95,2.0,0.03,,,,,36.78,21.0,54.8,5.0,,,,,none
3798,bj920092,2026-01-12,main_wave,>20%,0.5896,bull_aligned,27.3812,5.0,transition,"('none', False)",order_timeout,27.3812,,,,,,,order_timeout,,27.3812,10.6379,22.0,2.0,0.95,2.0,0.03,,,,,36.78,18.0,54.8,2.0,,,,,none
4,bj920130,2025-02-21,main_wave,10~15%,0.5006,bull_aligned,13.2064,4.0,transition,"('none', False)",order_timeout,13.2064,,,,,,,order_timeout,,13.2064,5.5341,23.0,2.0,0.95,2.0,0.03,,,,,19.45,4.0,56.0,13.0,,,,,none
197,bj920130,2025-03-07,main_wave,>20%,0.5105,neutral,14.5126,4.0,transition,"('none', False)",order_timeout,14.5126,,,,,,,order_timeout,,14.5126,5.8427,20.0,2.0,0.95,2.0,0.03,,,,,25.2,19.0,56.0,3.0,,,,,none
214,bj920130,2025-03-10,high_trap,>20%,1.0,bull_aligned,14.9334,4.0,transition,"('none', False)",order_timeout,14.9334,,,,,,,order_timeout,,14.9334,6.0207,19.0,2.0,0.95,2.0,0.03,,,,,25.2,18.0,56.0,2.0,,,,,none
258,bj920130,2025-03-12,high_trap,>20%,0.9963,bull_aligned,15.1692,4.0,transition,"('none', False)",order_timeout,15.1692,,,,,,,order_timeout,,15.1692,6.2462,19.0,2.0,0.95,2.0,0.03,,,,,25.2,16.0,56.0,0.0,,,,,none
270,bj920130,2025-03-13,high_zone,>20%,0.7598,bull_aligned,15.3985,4.0,transition,"('none', False)",simulated,15.3985,34.2267,11.0,40.3875,30.804,40.3875,11.0,tp,0.180001,15.3985,6.5863,19.0,2.0,0.95,1.5,0.03,,,,,25.2,15.0,49.5,0.0,32.0,11.0,41.8,11.0,60m
287,bj920130,2025-03-14,high_trap,>20%,1.0,bull_aligned,15.6258,4.0,transition,,cooldown,,,,,,,,cooldown,,,,,,,,,,,,,,,,,,,,,
353,bj920130,2025-03-20,main_wave,>20%,0.5907,bull_aligned,16.8844,4.0,transition,"('none', False)",simulated,16.8844,34.2267,6.0,40.3875,30.804,40.3875,6.0,tp,0.180001,16.8844,10.0459,18.0,2.0,0.95,2.0,0.03,,,,,25.2,10.0,42.99,8.0,32.0,6.0,41.8,6.0,60m
427,bj920130,2025-03-26,main_wave,>20%,0.5277,bull_aligned,18.4658,5.0,transition,"('none', False)",simulated,18.4658,32.3347,10.0,38.1549,29.1012,30.96,21.0,expire,-0.042514,18.4658,11.7051,18.0,2.0,0.95,2.0,0.03,,,,,25.2,6.0,42.99,4.0,30.72,14.0,38.1,16.0,60m
487,bj920130,2025-03-31,main_wave,>20%,0.5084,bull_aligned,19.9653,5.0,transition,"('none', False)",simulated,19.9653,32.3347,7.0,38.1549,29.1012,34.97,21.0,expire,0.081502,19.9653,12.3528,18.0,2.0,0.95,2.0,0.03,,,,,25.2,3.0,42.99,1.0,30.0,19.0,38.1,13.0,60m
3711,bj920130,2025-12-31,abyss_bottom,5~10%,0.0364,neutral,20.1275,0.0,bottom,,low_support_skip,,,,,,,,low_support_skip,,,,,,,,,,,,,,,,,,,,,
3832,bj920130,2026-01-14,main_wave,>20%,0.6123,bull_aligned,19.7566,4.0,transition,"('none', False)",order_timeout,19.7566,,,,,,,order_timeout,,19.7566,4.7776,22.0,1.978,0.95,2.0,0.03,,,,,23.61,16.0,29.96,0.0,,,,,none
5,bj920395,2025-02-21,high_zone,10~15%,0.7466,bull_aligned,9.2548,4.0,transition,"('none', False)",order_timeout,9.2548,,,,,,,order_timeout,,9.2548,2.9511,21.0,2.0,0.95,1.5,0.03,,,,,13.349,20.0,17.9868,16.0,,,,,none
38,bj920395,2025-02-25,high_trap,15~20%,0.8078,bull_aligned,9.5276,4.0,transition,"('none', False)",order_timeout,9.5276,,,,,,,order_timeout,,9.5276,3.0622,19.0,2.0,0.95,2.0,0.03,,,,,13.349,18.0,17.9868,14.0,,,,,none
56,bj920395,2025-02-26,high_zone,10~15%,0.7876,bull_aligned,9.6939,4.0,transition,"('none', False)",order_timeout,9.6939,,,,,,,order_timeout,,9.6939,3.1187,18.0,2.0,0.95,1.5,0.03,,,,,13.349,17.0,17.9868,13.0,,,,,none
6,bj920906,2025-02-21,main_wave,10~15%,0.6718,bull_aligned,15.0496,4.0,transition,"('none', False)",order_timeout,15.0496,,,,,,,order_timeout,,15.0496,5.5689,22.0,2.0,0.95,2.0,0.03,,,,,22.8895,5.0,39.6871,17.0,,,,,none
89,bj920906,2025-02-27,high_zone,10~15%,0.7279,bull_aligned,15.2532,4.0,transition,"('none', False)",simulated,15.2532,28.7556,11.0,33.9316,25.88,33.9316,13.0,tp,0.18,15.2532,6.1044,23.0,2.0,0.95,1.5,0.03,,,,,22.8895,1.0,39.6871,13.0,27.7512,12.0,39.6871,13.0,60m
154,bj920906,2025-03-05,high_zone,>20%,0.7057,bull_aligned,15.7851,4.0,transition,"('none', False)",simulated,15.7851,28.7556,7.0,33.9316,25.88,33.9316,9.0,tp,0.18,15.7851,6.5671,21.0,2.0,0.95,1.5,0.03,,,,,17.0654,21.0,39.6871,9.0,27.7512,8.0,39.6871,9.0,60m
773,bj920906,2025-04-23,main_wave,10~15%,0.3082,neutral,18.1214,3.0,transition,"('none', False)",order_timeout,18.1214,,,,,,,order_timeout,,18.1214,7.9787,22.0,2.0,0.95,2.0,0.03,,,,,21.0937,3.0,28.3663,16.0,,,,,none
2310,bj920906,2025-08-29,bottom_start,3~5%,0.2646,bear_aligned,21.6313,2.0,bottom,,low_support_skip,,,,,,,,low_support_skip,,,,,,,,,,,,,,,,,,,,,
2326,bj920906,2025-09-01,main_wave,5~10%,0.5785,bull_aligned,21.356,6.0,transition,"('none', False)",order_timeout,21.356,,,,,,,order_timeout,,21.356,3.4669,22.0,1.661,0.95,2.0,0.03,,,,,28.27,21.0,42.7385,0.0,,,,,none
2347,bj920906,2025-09-02,main_wave,>20%,0.5785,bull_aligned,21.356,6.0,transition,"('none', False)",order_timeout,21.356,,,,,,,order_timeout,,21.356,3.4669,22.0,1.661,0.95,2.0,0.03,,,,,28.27,20.0,41.1254,0.0,,,,,none
2363,bj920906,2025-09-03,main_wave,15~20%,0.6991,bull_aligned,21.1707,6.0,transition,"('none', False)",order_timeout,21.1707,,,,,,,order_timeout,,21.1707,3.8164,22.0,1.738,0.95,2.0,0.03,,,,,27.8816,21.0,36.8236,2.0,,,,,none
2381,bj920906,2025-09-04,high_trap,10~15%,0.8867,bull_aligned,20.8011,6.0,transition,"('none', False)",order_timeout,20.8011,,,,,,,order_timeout,,20.8011,4.4914,21.0,1.861,0.95,2.0,0.03,,,,,27.8816,20.0,36.8236,1.0,,,,,none
2399,bj920906,2025-09-05,main_wave,5~10%,0.6885,bull_aligned,20.5387,6.0,transition,"('none', False)",simulated,20.5387,33.0115,4.0,38.9536,29.7104,29.7104,13.0,sl,-0.099999,20.5387,5.1288,21.0,1.928,0.95,2.0,0.03,,,,,27.8816,19.0,36.8236,0.0,29.3155,13.0,36.505,8.0,60m
2411,bj920906,2025-09-08,main_wave,15~20%,0.5509,bull_aligned,20.2788,6.0,transition,,cooldown,,,,,,,,cooldown,,,,,,,,,,,,,,,,,,,,,
