signal_idx,stock_code,t0_date,zone_tag,dd_tier,position_ratio,trend_tag,golden_trend_t0,support_score,ma_zone,status,target_entry_price,actual_entry_price,entry_day_idx,tp_price,sl_price,exit_price,exit_day_idx,exit_reason,pnl,gt_t0,gt_channel_width,gt_n,gt_k,gt_offset,tp_mult,sl_buffer,gt_at_entry,ema_h_at_entry,channel_at_entry,gap_at_entry,fwd_low,fwd_low_day,fwd_high,fwd_high_day,hold_low,hold_low_day,hold_high,hold_high_day,entry_type
713,bj920751,2025-04-17,main_wave,5~10%,0.5988,bull_aligned,11.882,5.0,transition,simulated,11.882,16.0139,8.0,18.8964,14.4125,18.8964,9.0,tp,0.180002,11.882,3.6596,21.0,2.0,0.95,2.0,0.03,,,,,15.0416,6.0,21.1132,9.0,15.9553,8.0,21.1132,9.0,60m
993,bj920163,2025-05-14,main_wave,15~20%,0.4383,bull_aligned,11.3947,6.0,transition,simulated,11.3947,17.4379,9.0,20.5767,15.6941,18.1635,10.0,kdj_exit,0.041612,11.3947,4.6204,23.0,2.0,0.95,2.0,0.03,,,,,16.2821,6.0,22.1232,19.0,17.3755,9.0,18.4787,10.0,60m
3802,bj920021,2026-01-13,main_wave,10~15%,0.4458,bull_aligned,5.8642,4.0,transition,simulated,5.8642,11.0533,6.0,13.0429,9.948,13.0429,7.0,tp,0.179997,5.8642,0.9126,20.0,1.565,0.95,2.0,0.03,,,,,9.4843,2.0,17.4511,19.0,10.3628,6.0,13.4776,7.0,60m
751,sh605188,2025-04-21,high_trap,>20%,1.0,bull_aligned,6.5948,6.0,transition,simulated,6.5948,10.9807,9.0,12.0788,9.8826,12.0788,14.0,tp,0.100004,6.5948,1.555,18.0,1.787,0.95,2.0,0.03,,,,,10.0711,6.0,16.6387,0.0,10.3805,10.0,12.1971,14.0,60m
3808,bj920227,2026-01-13,main_wave,15~20%,0.3592,neutral,50.1264,3.0,transition,simulated,50.1264,79.0177,11.0,93.2409,71.1159,81.1859,12.0,kdj_exit,0.02744,50.1264,10.6907,20.0,1.979,0.95,2.0,0.03,,,,,74.0033,11.0,114.0544,0.0,74.0033,11.0,91.7283,11.0,60m
3894,bj920227,2026-01-20,main_wave,3~5%,0.4119,bull_aligned,48.7904,6.0,transition,simulated,48.7904,79.0177,6.0,93.2409,71.1159,81.1859,7.0,kdj_exit,0.02744,48.7904,15.418,22.0,2.0,0.95,2.0,0.03,,,,,72.9195,20.0,91.7283,6.0,74.0033,6.0,91.7283,6.0,60m
2346,bj920720,2025-09-02,high_trap,>20%,0.838,bull_aligned,13.2821,6.0,transition,simulated,13.2821,17.2007,11.0,20.2968,15.4806,15.4806,14.0,sl,-0.1,13.2821,1.965,17.0,1.452,0.95,2.0,0.03,,,,,14.96,20.0,19.7,0.0,15.08,14.0,17.95,11.0,60m
834,bj920469,2025-04-28,main_wave,0~3%,0.3807,neutral,10.6535,4.0,transition,simulated,10.6535,15.3796,10.0,18.1479,13.8416,15.7151,11.0,rsi_exit,0.021814,10.6535,3.56,21.0,2.0,0.95,2.0,0.03,,,,,13.7619,16.0,18.4157,0.0,14.7983,10.0,16.7216,10.0,60m
820,sz002194,2025-04-25,main_wave,15~20%,0.5516,neutral,9.9257,4.0,transition,simulated,9.9257,12.7166,4.0,13.9883,11.445,13.9883,6.0,tp,0.100002,9.9257,2.1518,20.0,1.874,0.95,2.0,0.03,,,,,11.8733,2.0,16.38,21.0,12.6098,6.0,14.4012,6.0,60m
906,bj920247,2025-05-07,main_wave,>20%,0.4555,neutral,11.2921,4.0,transition,simulated,11.2921,17.9261,6.0,21.1528,16.1335,21.1528,6.0,tp,0.180003,11.2921,4.0604,19.0,2.0,0.95,2.0,0.03,,,,,16.0815,12.0,22.1144,6.0,17.2868,6.0,22.1144,6.0,60m
2312,bj920247,2025-08-29,main_wave,5~10%,0.6573,bull_aligned,16.0649,6.0,transition,simulated,16.0649,26.3974,5.0,31.1489,23.7577,31.1489,5.0,tp,0.179999,16.0649,8.4961,17.0,2.0,0.95,2.0,0.03,,,,,24.0783,1.0,32.3366,5.0,25.7034,5.0,32.3366,5.0,60m
913,sh600592,2025-05-07,high_trap,15~20%,1.0,bull_aligned,13.5912,6.0,transition,simulated,13.5912,27.7913,6.0,30.5704,25.0122,26.6467,7.0,form_break,-0.041188,13.5912,4.6493,20.0,2.0,0.95,2.0,0.03,,,,,22.7005,20.0,30.0049,6.0,26.0288,7.0,30.0049,6.0,60m
2005,sz000691,2025-08-05,high_trap,5~10%,1.0,bull_aligned,4.1773,6.0,transition,simulated,4.1773,6.839,9.0,7.5229,6.1551,7.5229,10.0,tp,0.1,4.1773,0.9722,19.0,2.0,0.95,2.0,0.03,,,,,6.14,21.0,8.03,11.0,6.8,9.0,7.67,10.0,60m
3376,sz000691,2025-12-03,high_zone,>20%,0.7096,neutral,8.7744,4.0,transition,simulated,8.7744,8.8787,10.0,9.7665,7.9908,9.04,11.0,kdj_exit,0.018171,8.7744,1.7694,22.0,1.685,0.95,1.5,0.03,,,,,7.4,19.0,11.22,0.0,8.55,11.0,9.12,10.0,60m
1411,sz300581,2025-06-18,high_trap,10~15%,0.8309,bull_aligned,10.7063,6.0,transition,simulated,10.7063,17.4997,7.0,19.5996,15.7497,19.5996,7.0,tp,0.119998,10.7063,3.3172,17.0,2.0,0.95,2.0,0.03,,,,,15.98,3.0,22.77,8.0,17.16,7.0,20.47,7.0,60m
1041,bj920077,2025-05-19,main_wave,15~20%,0.6329,neutral,9.7587,6.0,transition,simulated,9.7587,15.4943,4.0,18.2833,13.9449,16.31,5.0,kdj_exit,0.052643,9.7587,2.8137,22.0,2.0,0.95,2.0,0.03,,,,,13.55,18.0,17.3,5.0,15.16,4.0,17.3,5.0,60m
1240,sz300946,2025-06-05,main_wave,>20%,0.6533,bull_aligned,31.3035,6.0,transition,simulated,31.3035,49.599,5.0,55.5509,44.6391,44.6391,10.0,sl,-0.1,31.3035,12.4706,17.0,2.0,0.95,2.0,0.03,,,,,43.3887,21.0,53.3859,0.0,44.3242,10.0,51.9073,5.0,60m
1031,bj920429,2025-05-16,main_wave,10~15%,0.6892,neutral,17.1164,6.0,transition,simulated,17.1164,27.0111,6.0,31.8731,24.31,27.5109,8.0,rsi_exit,0.018502,17.1164,6.0689,17.0,2.0,0.95,2.0,0.03,,,,,22.8757,21.0,33.3822,1.0,26.0676,7.0,29.4549,6.0,60m
1244,bj920429,2025-06-05,high_trap,15~20%,0.8239,bull_aligned,18.8776,6.0,transition,simulated,18.8776,28.083,4.0,33.138,25.2747,25.2747,7.0,sl,-0.100001,18.8776,7.3908,15.0,2.0,0.95,2.0,0.03,,,,,22.2221,11.0,29.2829,2.0,25.1534,7.0,28.5699,4.0,60m
1079,bj920174,2025-05-21,high_trap,>20%,0.8565,bull_aligned,26.1454,6.0,transition,simulated,26.1454,40.5163,10.0,47.8093,36.4647,43.88,11.0,rsi_exit,0.08302,26.1454,6.4252,22.0,2.0,0.95,2.0,0.03,,,,,36.64,19.0,50.0,0.0,40.18,10.0,43.98,11.0,60m
1199,bj920174,2025-05-30,main_wave,10~15%,0.4026,bull_aligned,27.2673,6.0,transition,simulated,27.2673,40.534,3.0,47.8301,36.4806,43.88,4.0,kdj_exit,0.082548,27.2673,9.3361,19.0,2.0,0.95,2.0,0.03,,,,,36.64,12.0,44.15,5.0,40.18,3.0,43.98,4.0,60m
1085,bj920931,2025-05-21,main_wave,10~15%,0.5934,bull_aligned,12.3156,6.0,transition,simulated,12.3156,17.2386,11.0,20.3415,15.5147,17.6088,12.0,rsi_exit,0.021475,12.3156,3.0472,21.0,2.0,0.95,2.0,0.03,,,,,16.4157,7.0,22.8686,0.0,16.9327,12.0,17.6287,12.0,60m
2353,bj920580,2025-09-02,main_wave,10~15%,0.6356,neutral,12.6989,5.0,transition,simulated,12.6989,19.5751,8.0,23.0987,17.6176,17.6176,10.0,sl,-0.100001,12.6989,2.1895,21.0,1.726,0.95,2.0,0.03,,,,,15.6179,20.0,26.7196,3.0,17.5279,10.0,20.5719,8.0,60m
2424,bj920580,2025-09-08,high_trap,15~20%,1.0,bull_aligned,12.2467,6.0,transition,simulated,12.2467,18.4156,3.0,21.7304,16.574,19.1991,4.0,rsi_exit,0.042548,12.2467,3.0616,20.0,2.0,0.95,2.0,0.03,,,,,15.22,18.0,20.6913,3.0,18.1546,3.0,20.6913,3.0,60m
1103,sz300765,2025-05-22,high_trap,3~5%,0.9243,neutral,31.7187,6.0,transition,simulated,31.7187,51.9823,9.0,58.2202,46.7841,58.2202,9.0,tp,0.12,31.7187,9.564,19.0,2.0,0.95,2.0,0.03,,,,,47.3605,2.0,63.31,10.0,51.46,9.0,63.0,9.0,60m
2351,bj920670,2025-09-02,main_wave,>20%,0.4547,bull_aligned,13.0817,6.0,transition,simulated,13.0817,18.0715,3.0,21.3244,16.2643,17.9107,4.0,form_break,-0.008898,13.0817,2.2882,19.0,1.709,0.95,2.0,0.03,,,,,13.5451,20.0,20.1333,0.0,17.7413,3.0,19.924,4.0,60m
1444,sz002365,2025-06-20,high_trap,15~20%,0.9577,bull_aligned,14.0356,6.0,transition,simulated,14.0356,27.7214,7.0,30.4935,24.9492,27.9465,8.0,rsi_exit,0.008122,14.0356,6.0356,15.0,2.0,0.95,2.0,0.03,,,,,20.8,21.0,31.7386,10.0,26.7121,7.0,29.9709,7.0,60m
1157,sh688455,2025-05-28,high_trap,>20%,1.0,bull_aligned,10.403,6.0,transition,simulated,10.403,15.1353,9.0,17.4056,13.6218,13.6218,15.0,sl,-0.1,10.403,1.2615,20.0,1.602,0.98,2.0,0.03,,,,,13.33,16.0,21.6,0.0,13.5,15.0,16.12,9.0,60m
1196,sh688136,2025-05-30,high_trap,>20%,0.9621,bull_aligned,28.2009,6.0,transition,simulated,28.2009,52.9529,5.0,60.8958,47.6576,47.6576,10.0,sl,-0.1,28.2009,9.6551,14.0,2.0,0.95,2.0,0.03,,,,,37.3245,19.0,63.0535,0.0,41.9727,10.0,57.3483,5.0,60m
1227,sz301335,2025-06-04,main_wave,15~20%,0.5785,bull_aligned,20.7193,6.0,transition,simulated,20.7193,35.9017,3.0,40.2099,32.3115,40.2099,3.0,tp,0.120001,20.7193,9.2392,18.0,2.0,0.95,2.0,0.03,,,,,31.9508,12.0,41.9713,0.0,35.6306,3.0,40.5568,3.0,60m
1334,bj920017,2025-06-12,high_trap,15~20%,0.81,bull_aligned,14.3526,6.0,transition,simulated,14.3526,20.8679,11.0,24.6241,18.7811,22.5227,12.0,kdj_exit,0.0793,14.3526,3.9945,20.0,2.0,0.95,2.0,0.03,,,,,19.8616,5.0,26.5045,0.0,20.4884,11.0,23.1301,12.0,60m
1278,sz002882,2025-06-09,high_trap,10~15%,0.8388,bull_aligned,15.0015,6.0,transition,simulated,15.0015,26.2863,7.0,28.915,23.6577,28.915,8.0,tp,0.100001,15.0015,5.4598,17.0,1.977,0.95,2.0,0.03,,,,,24.96,3.0,40.82,14.0,26.02,7.0,29.39,7.0,60m
1648,sz002882,2025-07-07,high_zone,10~15%,0.7478,bull_aligned,21.0665,6.0,transition,simulated,21.0665,32.643,8.0,35.9073,29.3787,35.9073,9.0,tp,0.1,21.0665,9.762,14.0,2.0,0.95,1.5,0.03,,,,,30.7,19.0,37.66,10.0,32.61,8.0,37.0,9.0,60m
1428,bj920090,2025-06-19,main_wave,0~3%,0.5759,bull_aligned,5.3929,5.0,transition,simulated,5.3929,7.636,1.0,9.0105,6.8724,8.26,2.0,kdj_exit,0.081718,5.3929,1.6284,16.0,2.0,0.95,2.0,0.03,,,,,7.51,0.0,13.89,4.0,7.51,1.0,8.46,2.0,60m
1502,bj920090,2025-06-26,high_zone,>20%,0.7951,bull_aligned,5.4297,5.0,transition,simulated,5.4297,10.7663,6.0,12.7043,9.6897,11.13,7.0,rsi_exit,0.033778,5.4297,1.9687,16.0,2.0,0.95,1.5,0.03,,,,,8.92,17.0,13.79,0.0,10.4,6.0,11.68,6.0,60m
1787,bj920807,2025-07-18,high_trap,5~10%,0.8883,bull_aligned,10.6724,6.0,transition,simulated,10.6724,19.2114,3.0,22.6695,17.2903,20.3984,4.0,rsi_exit,0.061787,10.6724,4.3593,16.0,2.0,0.95,2.0,0.03,,,,,17.5722,12.0,23.3833,21.0,18.5242,3.0,22.3123,3.0,60m
2286,bj920807,2025-08-27,high_trap,>20%,0.8652,bull_aligned,14.429,6.0,transition,simulated,14.429,19.7568,11.0,23.3131,17.7812,19.8431,12.0,kdj_exit,0.004367,14.429,5.9713,15.0,2.0,0.95,2.0,0.03,,,,,16.3822,18.0,24.0577,0.0,19.6051,12.0,20.7554,11.0,60m
2748,bj920807,2025-10-13,main_wave,15~20%,0.5914,neutral,15.5501,4.0,transition,simulated,15.5501,18.8095,5.0,22.1952,16.9285,18.9804,12.0,kdj_exit,0.009086,15.5501,4.4856,20.0,2.0,0.95,2.0,0.03,,,,,16.878,21.0,20.8844,0.0,17.3937,11.0,20.7059,12.0,60m
1358,bj920592,2025-06-16,main_wave,>20%,0.6412,bull_aligned,37.1474,5.0,transition,simulated,37.1474,54.9586,6.0,64.8511,49.4627,64.8511,6.0,tp,0.18,37.1474,9.1241,21.0,2.0,0.95,2.0,0.03,,,,,49.9672,4.0,67.2624,0.0,52.4686,6.0,64.8914,6.0,60m
2161,bj920914,2025-08-18,high_trap,>20%,0.9582,bull_aligned,22.636,6.0,transition,simulated,22.636,35.3334,9.0,41.6934,31.8001,37.3774,10.0,kdj_exit,0.057848,22.636,7.5957,16.0,2.0,0.95,2.0,0.03,,,,,33.1074,7.0,44.6662,14.0,34.7558,9.0,39.2244,10.0,60m
2244,bj920914,2025-08-25,high_zone,5~10%,0.7442,bull_aligned,23.6073,6.0,transition,simulated,23.6073,35.4334,4.0,41.8114,31.89,37.3774,5.0,kdj_exit,0.054864,23.6073,8.7204,17.0,2.0,0.95,1.5,0.03,,,,,33.1074,2.0,44.6662,9.0,34.7558,4.0,39.2244,5.0,60m
3146,sz301292,2025-11-14,high_trap,>20%,0.9557,bull_aligned,19.6742,6.0,transition,simulated,19.6742,61.433,8.0,68.805,55.2897,68.805,8.0,tp,0.120001,19.6742,10.5809,18.0,2.0,0.95,2.0,0.03,,,,,52.31,4.0,88.0,10.0,61.4,8.0,75.13,8.0,60m
3188,sz301292,2025-11-19,high_trap,>20%,0.9555,bull_aligned,21.0498,6.0,transition,simulated,21.0498,62.4003,5.0,69.8884,56.1603,69.8884,5.0,tp,0.12,21.0498,13.0476,19.0,2.0,0.95,2.0,0.03,,,,,52.31,1.0,88.0,7.0,61.4,5.0,75.13,5.0,60m
1576,sh605151,2025-07-02,main_wave,15~20%,0.625,neutral,15.3975,6.0,transition,simulated,15.3975,19.1127,6.0,21.0239,17.2014,20.29,10.0,kdj_exit,0.0616,15.3975,2.9427,18.0,1.768,0.95,2.0,0.03,,,,,18.2,2.0,22.624,0.0,18.69,8.0,20.83,9.0,60m
1585,sz002669,2025-07-02,high_trap,10~15%,0.8226,neutral,9.5106,6.0,transition,simulated,9.5106,12.4471,10.0,13.6918,11.2024,12.5283,11.0,rsi_exit,0.006524,9.5106,1.9072,14.0,1.643,0.95,2.0,0.03,,,,,12.1703,2.0,15.2626,0.0,12.3394,10.0,12.6973,10.0,60m
1611,bj920357,2025-07-03,high_trap,10~15%,0.802,bull_aligned,15.6163,6.0,transition,simulated,15.6163,19.893,11.0,23.4737,17.9037,18.8491,19.0,ma_support_break,-0.052473,15.6163,4.352,14.0,2.0,0.95,2.0,0.03,,,,,18.7342,21.0,22.4351,2.0,18.7878,19.0,20.2973,17.0,60m
1773,sh688068,2025-07-17,high_trap,5~10%,0.9582,bull_aligned,116.1267,6.0,transition,simulated,116.1267,190.2387,7.0,218.7745,171.2148,195.0,9.0,rsi_exit,0.025028,116.1267,44.2007,15.0,2.0,0.95,2.0,0.03,,,,,181.05,5.0,262.22,14.0,188.0,8.0,203.99,9.0,60m
1769,sz301176,2025-07-17,high_zone,10~15%,0.7741,bull_aligned,18.0591,6.0,transition,simulated,18.0591,32.298,7.0,36.1738,29.0682,33.44,8.0,kdj_exit,0.035358,18.0591,9.2425,17.0,2.0,0.95,1.5,0.03,,,,,29.96,15.0,36.75,21.0,32.25,7.0,34.8,7.0,60m
2467,sz300436,2025-09-11,main_wave,15~20%,0.5091,neutral,84.8046,5.0,transition,simulated,84.8046,110.3307,9.0,123.5703,99.2976,103.6,10.0,form_break,-0.061005,84.8046,46.629,17.0,2.0,0.95,2.0,0.03,,,,,93.8,14.0,130.9,19.0,103.59,10.0,126.34,9.0,60m
