position_ratio,zone_tag,trend_tag,bbi_value,ma13,ma55,ma13_slope,atr20,atr20_pct,vol_tag,golden_trend_t0,gt_n,gt_k,gt_offset,last_close,ma30,ma45,ma90,ma150,ma240,dist_ma30,dist_ma90,dist_ma150,dist_ma240,slope_ma30,slope_ma90,slope_ma240,support_score,ma_zone,macd_hist,macd_hist_slope,macd_hist_accel,rsi_value,rsi_slope,kdj_j,kdj_j_slope,kdj_k,signal_idx,stock_code,t0_date,data_source,pre_bars
0.8777,high_trap,bull_aligned,36.073,36.2713,32.1185,3.7339,3.4257,0.0741,high,23.522,22.0,2.0,0.95,46.2416,32.8067,31.6814,28.5825,,,0.4095,0.6178,,,0.068983,0.048046,0.0,4.0,transition,3.1306,2.8509,2.4502,72.78,16.0021,84.82,0.7515,82.35,70,bj920593,2025-02-26,60m,130
0.6693,main_wave,bull_aligned,18.5736,18.746,17.569,1.2684,1.3879,0.0701,high,13.038,22.0,2.0,0.95,19.795,17.4767,16.9831,16.159,,,0.1327,0.225,,,0.05214,0.039103,0.0,4.0,transition,0.4188,0.2491,0.103,58.35,1.5068,61.8,-32.0391,71.27,71,bj920896,2025-02-26,60m,130
0.7965,high_zone,bull_aligned,16.0189,16.0262,13.7164,2.71,1.489,0.0754,high,10.2511,22.0,2.0,0.95,19.75,13.662,13.2727,14.578,,,0.4456,0.3548,,,0.105727,0.031925,0.0,4.0,transition,1.0917,0.0009,-0.6966,77.38,-0.5868,77.41,14.591,77.35,72,bj920152,2025-02-27,60m,131
0.8562,high_trap,bull_aligned,17.1677,17.2352,16.3011,0.8893,0.9612,0.0478,medium,12.7825,20.0,2.0,0.95,20.0894,16.4751,15.9311,15.6111,,,0.2194,0.2869,,,0.029205,0.034397,0.0,4.0,transition,0.7179,0.6568,0.7629,69.45,18.5484,107.79,40.2806,90.22,73,bj920273,2025-02-27,60m,131
0.7393,high_zone,bull_aligned,15.2761,15.4826,14.6892,0.9142,0.8001,0.0463,medium,11.8702,21.0,2.0,0.95,17.2773,14.4081,14.0772,14.7438,,,0.1991,0.1718,,,0.035563,0.021542,0.0,4.0,transition,0.4613,0.3881,0.4428,70.53,18.3621,86.18,-0.3669,84.87,74,bj920690,2025-02-27,60m,131
0.7812,high_zone,bull_aligned,24.717,26.2531,22.6036,3.4954,2.6905,0.0988,high,15.1466,24.0,2.0,0.95,27.22,21.958,21.6907,21.2559,,,0.2396,0.2806,,,0.057792,0.041241,0.0,4.0,transition,0.0905,0.0985,1.4365,60.99,1.8741,78.49,14.911,76.87,75,bj920171,2025-02-27,60m,131
1.0,high_trap,bull_aligned,1.8908,1.8885,1.8387,0.2008,0.1005,0.04,medium,1.4208,21.0,2.0,0.95,2.51,1.7233,1.7658,1.7202,,,0.4565,0.4591,,,0.053382,0.027339,0.0,4.0,transition,0.1756,0.1274,0.1227,80.84,22.6546,103.63,7.2686,98.64,76,sz002501,2025-02-27,60m,131
1.0,high_trap,bull_aligned,14.268,14.2788,12.6227,1.6793,1.2863,0.0609,high,9.7408,21.0,2.0,0.95,21.127,12.8136,12.2823,12.5283,,,0.6488,0.6863,,,0.07812,0.030457,0.0,4.0,transition,1.6359,1.4537,1.4214,84.39,31.9436,103.59,24.3605,87.76,77,bj920663,2025-02-27,60m,131
0.5731,main_wave,bull_aligned,28.3324,29.6269,26.4892,2.3045,2.5596,0.0882,high,18.9519,23.0,2.0,0.95,29.0056,25.9932,25.5508,25.8098,,,0.1159,0.1238,,,0.04479,0.032217,0.0,4.0,transition,-0.4819,-0.5218,0.3059,55.35,-2.3131,52.93,-8.337,57.45,78,bj920508,2025-02-27,60m,131
0.6599,main_wave,bull_aligned,27.2624,28.0801,25.3102,2.7285,2.1392,0.073,high,18.8404,22.0,2.0,0.95,29.2971,24.9035,25.1647,23.3061,,,0.1764,0.2571,,,0.031153,0.050541,0.0,4.0,transition,0.1976,-0.3238,0.1599,61.95,2.735,76.45,3.3037,75.11,79,bj920522,2025-02-27,60m,131
0.4675,main_wave,bull_aligned,17.189,17.4919,17.2638,1.3486,1.0552,0.0577,medium,13.067,21.0,2.0,0.95,18.2716,16.1878,16.5324,18.0093,,,0.1287,0.0146,,,0.036113,0.010061,0.0,4.0,transition,0.1653,-0.3573,-0.4418,59.83,0.0319,73.85,-10.741,74.7,80,bj920026,2025-02-27,60m,131
0.8739,high_trap,bull_aligned,53.4076,52.3819,41.135,11.5236,5.6667,0.0769,high,29.7078,21.0,2.0,0.95,73.6688,43.3296,40.6899,38.1059,,,0.7002,0.9333,,,0.150493,0.062915,0.0,4.0,transition,6.0357,-0.399,-6.3818,76.72,17.6365,82.73,-24.3055,85.76,81,bj920002,2025-02-27,60m,131
