position_ratio,zone_tag,trend_tag,bbi_value,ma13,ma55,ma13_slope,atr20,atr20_pct,vol_tag,golden_trend_t0,gt_n,gt_k,gt_offset,last_close,ma30,ma45,ma90,ma150,ma240,dist_ma30,dist_ma90,dist_ma150,dist_ma240,slope_ma30,slope_ma90,slope_ma240,support_score,ma_zone,macd_hist,macd_hist_slope,macd_hist_accel,rsi_value,rsi_slope,kdj_j,kdj_j_slope,kdj_k,signal_idx,stock_code,t0_date,data_source,pre_bars
0.6518,main_wave,neutral,18.0732,17.9616,18.0579,0.5563,0.8853,0.0465,medium,14.2398,20.0,2.0,0.95,19.0182,17.3183,17.9557,17.2349,17.1059,,0.0982,0.1035,0.1118,,0.009275,0.009359,0.0,6.0,transition,0.2313,-0.1735,-0.0633,59.14,-0.5678,83.93,5.4073,80.91,1061,bj920857,2025-05-20,60m,185
0.4744,main_wave,bull_aligned,28.3975,28.5831,27.6622,1.4685,2.3515,0.0786,high,20.1013,22.0,2.0,0.95,29.9,26.7517,27.7229,25.7777,24.8164,,0.1177,0.1599,0.2049,,0.01769,0.014035,0.0,6.0,transition,-0.077,-0.3412,1.5887,55.83,1.393,53.11,9.661,51.99,1062,bj920199,2025-05-20,60m,185
0.5689,main_wave,bull_aligned,24.9651,24.5469,23.8836,1.6531,1.8165,0.0699,high,16.961,22.0,2.0,0.95,26.0,23.0903,23.3789,20.4361,18.1327,,0.126,0.2723,0.4339,,0.042437,0.031756,0.0,6.0,transition,0.2678,-1.3585,-2.387,56.94,-7.4044,70.43,-27.5028,75.71,1063,bj920284,2025-05-20,60m,185
0.7843,high_zone,bull_aligned,15.5407,15.3763,14.0566,0.5088,0.9246,0.0567,medium,11.3914,19.0,2.0,0.95,16.2998,14.8209,14.4909,12.4536,11.8451,,0.0998,0.3088,0.3761,,0.037457,0.028743,0.0,6.0,transition,0.1761,0.0181,0.0601,59.66,-4.824,84.3,13.056,80.49,1064,bj920476,2025-05-20,60m,185
0.3355,main_wave,neutral,19.7866,19.4985,20.8725,0.8985,1.294,0.0552,medium,15.1632,18.0,2.0,0.95,23.45,18.783,20.3207,19.6908,19.3229,,0.2485,0.1909,0.2136,,0.00546,0.004131,0.0,6.0,transition,0.8783,0.1321,-0.0018,65.56,6.5552,81.79,-5.6451,81.16,1065,bj920436,2025-05-20,60m,185
0.0,abyss_bottom,bear_aligned,2.2642,2.2462,3.0824,-0.4431,0.1325,0.0813,high,2.2751,13.0,1.793,0.95,1.63,2.656,2.9262,3.2484,3.2635,,-0.3863,-0.4982,-0.5005,,-0.082662,-0.050594,0.0,1.0,bottom,-0.125,0.0249,0.0459,15.29,-6.6221,-0.51,2.0219,0.06,1066,sz002717,2025-05-20,60m,184
0.3571,main_wave,neutral,12.5394,12.3415,13.5342,-0.0538,0.634,0.0498,medium,10.3177,16.0,2.0,0.95,12.74,12.35,13.1871,12.9413,13.2243,,0.0316,-0.0156,-0.0366,,-0.010364,-0.000609,0.0,2.0,bottom,0.1887,-0.0385,-0.0999,50.69,1.6374,84.32,-3.2764,82.82,1067,bj920198,2025-05-20,60m,185
0.9661,high_trap,bull_aligned,14.0757,14.0422,12.6556,1.3942,0.6527,0.0399,medium,10.7927,18.0,1.822,0.95,16.3535,12.9508,12.6805,12.0784,11.6038,,0.2627,0.354,0.4093,,0.045119,0.021214,0.0,6.0,transition,0.6085,0.0318,-0.1968,82.38,12.035,97.11,5.4987,94.96,1068,sz300756,2025-05-20,60m,185
,unknown,unknown,,,,,,,unknown,,,,,,,,,,,,,,,,,,,unknown,,,,,,,,,1069,bj920128,2025-05-20,skip,0
0.6329,main_wave,neutral,12.8409,12.5808,12.5918,0.7892,0.828,0.0572,medium,9.7587,22.0,2.0,0.95,14.48,12.136,12.5438,11.9672,12.3172,,0.1931,0.21,0.1756,,0.007443,0.008568,0.0,6.0,transition,0.8001,0.5463,0.4949,63.23,10.3442,65.19,-23.504,72.54,1070,bj920077,2025-05-20,60m,185
0.7953,high_zone,bull_aligned,5.9202,5.9226,5.6982,0.147,0.2733,0.0392,medium,4.8767,21.0,1.733,0.95,6.9687,5.6596,5.6661,5.7002,5.7127,,0.2313,0.2225,0.2199,,0.020952,5.8e-05,0.0,6.0,transition,0.2191,0.2119,0.2671,73.01,13.0434,104.05,23.8895,94.83,1071,sz002510,2025-05-21,60m,186
0.3091,main_wave,neutral,11.581,11.4908,11.8484,0.3285,0.513,0.0409,medium,9.3624,18.0,2.0,0.95,12.53,11.2383,11.6776,11.2897,11.9549,,0.1149,0.1099,0.0481,,0.00717,0.001686,0.0,6.0,transition,0.2741,0.0777,0.1535,62.93,7.1522,97.04,17.1068,88.82,1072,bj920719,2025-05-21,60m,186
0.0184,abyss_bottom,bear_aligned,13.5795,12.0964,28.7917,-1.3328,1.1755,0.0986,high,12.7569,14.0,2.0,0.95,11.9199,16.2606,25.3443,38.9284,36.5864,,-0.2669,-0.6938,-0.6742,,-0.227995,-0.049614,0.0,0.0,bottom,1.3028,-0.2913,-0.2752,28.21,-0.2165,7.12,-2.0042,6.76,1073,sz300561,2025-05-21,60m,185
0.5731,main_wave,bull_aligned,25.0512,24.9123,24.0664,1.6577,1.767,0.0677,high,17.1158,22.0,2.0,0.95,26.1,23.2363,23.3876,20.5519,18.2689,,0.1232,0.27,0.4287,,0.041459,0.030801,0.0,6.0,transition,0.0225,-1.338,-1.6001,57.25,-10.0606,68.44,-22.6462,73.39,1074,bj920284,2025-05-21,60m,186
0.7216,high_zone,bull_aligned,6.3294,6.3292,6.2718,0.4031,0.251,0.0344,medium,5.0734,20.0,2.0,0.95,7.3,5.973,6.3011,5.931,5.6765,,0.2222,0.2308,0.286,,0.008328,0.01812,0.0,6.0,transition,0.2069,0.0152,0.1116,71.27,8.6275,101.01,13.6585,92.28,1075,sh600698,2025-05-21,60m,186
0.0888,abyss_bottom,bear_aligned,3.0881,2.9215,4.2285,-0.7762,0.1955,0.0779,high,3.1795,16.0,2.0,0.95,2.51,3.783,4.1509,4.07,3.7493,,-0.3365,-0.3833,-0.3305,,-0.116809,-0.01,0.0,0.0,bottom,-0.0306,0.1801,0.1179,26.44,5.0925,15.32,15.8182,8.66,1076,sz002630,2025-05-21,60m,185
0.0198,abyss_bottom,bear_aligned,2.1961,2.1569,3.0415,-0.4577,0.121,0.0708,high,2.2248,13.0,1.779,0.95,1.71,2.604,2.8824,3.2251,3.2597,,-0.3433,-0.4698,-0.4754,,-0.086957,-0.047672,0.0,0.0,bottom,-0.0821,0.0623,0.0645,20.31,0.1331,4.81,6.3311,2.58,1077,sz002717,2025-05-21,60m,185
0.2764,bottom_start,neutral,11.8637,11.6862,12.2045,0.2608,0.5195,0.0413,medium,9.5938,18.0,2.0,0.95,12.57,11.6747,12.046,11.6817,11.9263,,0.0767,0.076,0.054,,0.007276,0.005518,0.0,6.0,transition,0.2718,0.0482,0.0685,59.13,4.7041,57.24,8.0631,53.28,1078,bj920175,2025-05-21,60m,186
0.8565,high_trap,bull_aligned,33.7029,33.8146,31.9811,1.3346,2.1885,0.0511,medium,26.1454,22.0,2.0,0.95,42.84,31.904,31.6744,30.572,28.7345,,0.3428,0.4013,0.4909,,0.031568,0.003015,0.0,6.0,transition,1.5383,1.5381,1.8628,73.69,14.2681,98.68,34.4182,82.4,1079,bj920174,2025-05-21,60m,176
1.0,high_trap,bull_aligned,18.5948,19.1038,16.5405,2.4085,0.971,0.0431,medium,13.8759,20.0,1.925,0.95,22.51,16.6443,16.4749,16.3467,16.2404,,0.3524,0.377,0.386,,0.044383,0.013293,0.0,6.0,transition,0.7588,0.3705,1.1673,77.04,8.4565,104.16,22.3449,97.67,1080,sz002868,2025-05-21,60m,181
0.0438,abyss_bottom,bear_aligned,7.8962,7.4938,10.1529,-1.6031,0.7655,0.1033,high,7.364,18.0,2.0,0.95,7.41,8.6627,9.244,12.3378,17.2555,,-0.1446,-0.3994,-0.5706,,-0.04029,-0.050956,0.0,0.0,bottom,0.111,0.4863,0.171,41.53,4.0947,15.26,14.1877,11.99,1081,sz002693,2025-05-21,60m,175
0.5876,main_wave,neutral,12.7929,12.5138,13.5531,0.1285,0.7665,0.0506,medium,10.3116,18.0,2.0,0.95,15.16,12.428,13.1511,12.9818,13.2795,,0.2198,0.1678,0.1416,,-0.001098,0.002755,0.0,5.0,transition,0.6043,0.3613,0.3187,67.07,15.7808,82.49,-8.7923,82.28,1082,bj920198,2025-05-21,60m,186
0.8929,high_trap,bull_aligned,13.2748,12.9815,12.6698,1.1208,0.9775,0.0586,medium,9.7194,22.0,2.0,0.95,16.69,12.2667,12.6258,12.023,12.3681,,0.3606,0.3882,0.3494,,0.019249,0.013554,0.0,6.0,transition,1.0362,0.3339,-0.1373,72.02,14.7722,83.77,-22.992,80.0,1083,bj920077,2025-05-21,60m,186
0.8022,high_trap,bull_aligned,9.5204,8.8858,7.6086,1.8963,0.9247,0.0694,high,5.4638,22.0,2.0,0.95,13.3158,7.9703,7.8678,6.9723,6.8148,,0.6707,0.9098,0.954,,0.116133,0.05517,0.0,6.0,transition,1.4885,0.2359,-1.0444,78.82,22.4531,80.98,-32.285,79.09,1084,bj920571,2025-05-21,60m,186
0.5934,main_wave,bull_aligned,15.6883,15.6959,15.1959,0.4979,0.6468,0.0396,medium,12.3156,21.0,2.0,0.95,16.3361,14.9461,15.0968,13.9834,13.5279,,0.093,0.1682,0.2076,,0.024071,0.020133,0.0,6.0,transition,0.1114,-0.0628,0.0615,60.86,0.5942,92.13,4.1175,92.41,1085,bj920931,2025-05-21,60m,186
0.9638,high_trap,bull_aligned,14.4933,14.862,12.5407,1.1889,0.9332,0.0566,medium,10.7134,16.0,2.0,0.95,16.4857,13.2818,12.8697,12.1626,11.6208,,0.2412,0.3554,0.4186,,0.049062,0.019233,0.0,6.0,transition,0.2927,0.129,0.2621,72.91,6.4236,95.8,1.1336,94.17,1086,sz300945,2025-05-21,60m,186
0.0659,abyss_bottom,bear_aligned,6.6434,6.1462,9.4915,-0.5469,0.3785,0.0595,medium,5.9047,13.0,2.0,0.95,6.36,7.4877,8.9951,10.0431,11.6908,,-0.1506,-0.3667,-0.456,,-0.079385,-0.034296,0.0,0.0,bottom,0.3383,0.0748,-0.1938,37.0,6.6346,19.25,2.9163,16.03,1087,sh600696,2025-05-21,60m,185
0.6676,main_wave,bull_aligned,15.834,15.9315,15.248,0.6876,0.6473,0.0378,medium,12.3939,21.0,2.0,0.95,17.1017,15.0578,15.1039,14.0574,13.5835,,0.1357,0.2166,0.259,,0.028594,0.022016,0.0,6.0,transition,0.1959,0.0001,0.0883,66.81,8.2267,99.46,5.7383,96.01,1088,bj920931,2025-05-22,60m,187
0.0421,abyss_bottom,bear_aligned,2.148,2.0785,3.0053,-0.4577,0.1145,0.0636,high,2.1804,13.0,1.719,0.95,1.8,2.5577,2.8398,3.202,3.2563,,-0.2962,-0.4379,-0.4472,,-0.088934,-0.042655,0.0,0.0,bottom,-0.0247,0.1108,0.097,25.65,6.924,11.94,12.832,6.7,1089,sz002717,2025-05-22,60m,186
1.0,high_trap,bull_aligned,35.8772,35.8523,32.4244,3.2738,2.747,0.0493,medium,26.3242,21.0,2.0,0.95,55.69,32.8047,32.1547,30.8683,28.9931,,0.6976,0.8041,0.9208,,0.057271,0.012958,0.0,6.0,transition,4.6567,4.7193,5.2151,83.75,29.191,108.14,41.9324,91.2,1090,bj920174,2025-05-22,60m,177
0.372,main_wave,neutral,11.7684,11.7277,11.8818,0.5731,0.546,0.0411,medium,9.3782,19.0,2.0,0.95,13.3,11.3287,11.6796,11.3221,11.9756,,0.174,0.1747,0.1106,,0.017393,0.005695,0.0,6.0,transition,0.4232,0.2023,0.2635,69.13,17.6501,97.54,9.6521,91.12,1091,bj920719,2025-05-22,60m,187
1.0,high_trap,bull_aligned,19.1603,19.7492,16.6591,2.7462,0.9935,0.042,medium,14.1936,19.0,1.912,0.95,23.64,16.8987,16.6476,16.4416,16.3149,,0.3989,0.4378,0.449,,0.054015,0.018859,0.0,6.0,transition,0.9396,0.4942,0.9345,79.69,17.0676,103.24,5.203,98.84,1092,sz002868,2025-05-22,60m,182
1.0,high_trap,bull_aligned,4.6588,4.5662,4.3407,0.5046,0.201,0.0322,medium,3.7682,21.0,1.497,0.95,6.24,4.2333,4.2987,4.3024,4.5108,,0.474,0.4503,0.3833,,0.042693,0.011811,0.0,6.0,transition,0.4917,0.2842,0.1362,86.7,37.2347,102.92,-3.2467,97.41,1093,sh600770,2025-05-22,60m,187
0.4579,main_wave,neutral,20.694,20.6054,21.0829,1.7308,1.515,0.0623,high,15.1654,20.0,2.0,0.95,24.3,19.132,20.2747,19.8371,19.5399,,0.2701,0.225,0.2436,,0.027497,0.011157,0.0,6.0,transition,1.2382,0.8683,1.485,67.05,13.1755,78.88,1.3828,79.92,1094,bj920436,2025-05-22,60m,187
0.8955,high_trap,bull_aligned,22.0866,21.48,18.6555,3.1777,1.5895,0.0595,medium,14.0815,20.0,2.0,0.95,26.7,19.527,18.9018,16.7141,15.8351,,0.3673,0.5975,0.6861,,0.082768,0.044879,0.0,6.0,transition,1.5967,-0.2649,-1.5801,76.94,10.8025,86.88,-13.049,85.37,1095,bj920895,2025-05-22,60m,187
0.6234,main_wave,bull_aligned,25.1775,25.4323,24.2622,1.8308,1.8085,0.0662,high,17.2647,22.0,2.0,0.95,27.3,23.3897,23.4173,20.6912,18.4045,,0.1672,0.3194,0.4833,,0.037803,0.030822,0.0,6.0,transition,0.0823,-0.579,0.2295,60.91,-7.9401,77.3,4.0772,76.59,1096,bj920284,2025-05-22,60m,187
0.9368,high_trap,bull_aligned,8.5121,8.1522,7.0746,1.1446,0.5449,0.0459,medium,6.4238,18.0,1.597,0.98,11.8679,7.5021,7.2189,6.8374,6.7498,,0.5819,0.7357,0.7582,,0.086566,0.030354,0.0,6.0,transition,1.126,0.5827,-0.0024,85.81,24.3267,101.77,-11.8705,94.51,1097,sz002040,2025-05-22,60m,187
1.0,high_trap,bull_aligned,18.9978,18.9192,17.5015,1.1791,1.3397,0.0491,medium,13.4152,22.0,2.0,0.95,27.269,17.6237,17.5618,16.4652,15.9648,,0.5473,0.6562,0.7081,,0.046305,0.026187,0.0,6.0,transition,1.8703,1.862,1.9377,82.08,29.1644,106.38,33.7808,92.31,1098,bj920392,2025-05-22,60m,187
0.6289,main_wave,bull_aligned,13.1838,13.2138,12.9679,0.5352,0.5844,0.0403,medium,10.2827,21.0,2.0,0.95,14.5096,12.5882,12.7162,12.1839,12.0671,,0.1526,0.1909,0.2024,,0.024845,0.01576,0.0,6.0,transition,0.298,0.1645,0.2391,66.48,14.1903,100.08,7.4494,96.54,1099,bj920580,2025-05-22,60m,187
0.4225,main_wave,neutral,29.5044,29.5101,29.9134,1.1577,1.9321,0.0552,medium,22.7259,20.0,2.0,0.95,34.977,27.9951,29.0888,30.125,29.0316,,0.2494,0.1611,0.2048,,0.011338,0.006078,0.0,6.0,transition,1.2639,0.898,1.0101,69.5,16.8912,81.57,10.1637,76.25,1100,bj920075,2025-05-22,60m,187
1.0,high_trap,bull_aligned,9.706,9.5793,9.3619,0.9197,0.4217,0.0324,medium,7.8313,21.0,1.645,0.95,13.0189,8.902,9.1498,9.5517,9.1327,,0.4625,0.363,0.4255,,0.031769,0.015044,0.0,6.0,transition,1.0161,0.7574,0.7054,88.27,33.8805,103.65,1.5572,98.87,1101,sz002811,2025-05-22,60m,187
0.745,high_zone,bull_aligned,21.0937,21.1507,20.1471,1.0857,1.1744,0.0466,medium,15.7102,22.0,2.0,0.95,25.2267,19.9452,20.3771,18.4735,17.9106,,0.2648,0.3656,0.4085,,0.022436,0.023252,0.0,6.0,transition,0.9468,0.8368,1.1861,71.39,16.4132,97.47,12.9967,92.71,1102,bj920405,2025-05-22,60m,187
0.9243,high_trap,neutral,41.4245,40.8255,39.2689,-0.5536,2.9643,0.0638,high,31.7187,19.0,2.0,0.95,46.4309,41.0698,39.7605,34.6134,32.1744,,0.1305,0.3414,0.4431,,0.016401,0.024528,0.0,6.0,transition,1.2045,1.5045,1.0207,65.75,14.9069,88.58,41.3358,69.7,1103,sz300765,2025-05-22,60m,187
0.6511,main_wave,bull_aligned,37.3972,37.1631,32.7353,4.4569,3.3415,0.0682,high,26.3621,21.0,2.0,0.95,49.0,33.447,32.5251,31.0918,29.2098,,0.465,0.576,0.6775,,0.074499,0.021524,0.0,6.0,transition,4.4591,4.6879,5.0965,68.96,14.558,69.13,6.9523,75.93,1104,bj920174,2025-05-23,60m,178
0.7746,high_zone,bull_aligned,16.0767,16.2206,15.3156,0.8941,0.79,0.0434,medium,12.4462,21.0,2.0,0.95,18.2054,15.1967,15.1428,14.1424,13.6354,,0.198,0.2873,0.3352,,0.035548,0.024547,0.0,6.0,transition,0.4112,0.2323,0.2653,73.15,13.284,70.74,-24.9673,82.51,1105,bj920931,2025-05-23,60m,188
0.0644,abyss_bottom,bear_aligned,2.1168,2.0138,2.9704,-0.4315,0.1115,0.059,medium,2.1314,13.0,1.704,0.95,1.89,2.5157,2.8,3.1839,3.2525,,-0.2487,-0.4064,-0.4189,,-0.087866,-0.037551,0.0,0.0,bottom,0.0346,0.1596,0.1346,30.66,13.1485,19.18,19.6887,11.63,1106,sz002717,2025-05-23,60m,187
0.7274,high_zone,bull_aligned,12.3166,12.2431,11.974,1.0623,0.719,0.0416,medium,9.358,21.0,2.0,0.95,17.29,11.545,11.7544,11.3984,12.0113,,0.4976,0.5169,0.4395,,0.038002,0.013055,0.0,6.0,transition,1.198,0.9961,0.995,84.02,29.0373,103.21,14.8746,95.56,1107,bj920719,2025-05-23,60m,188
0.7849,high_zone,bull_aligned,10.8233,10.5932,10.275,0.6103,0.6918,0.0555,medium,8.2638,21.0,2.0,0.95,12.4644,10.3057,10.3215,9.9084,10.1814,,0.2095,0.258,0.2242,,0.024782,0.015107,0.0,6.0,transition,0.5904,0.1166,-0.3662,70.27,23.2492,75.19,-12.7026,72.94,1108,bj920946,2025-05-23,60m,188
0.7118,high_zone,bull_aligned,13.789,13.6346,12.7691,1.5008,1.077,0.0711,high,9.7069,22.0,2.0,0.95,15.15,12.4677,12.7482,12.12,12.4023,,0.2151,0.25,0.2216,,0.038367,0.019096,0.0,6.0,transition,0.5535,-0.2465,-0.7928,60.74,-10.4823,62.64,-2.554,70.28,1109,bj920077,2025-05-23,60m,188
0.5451,main_wave,bull_aligned,14.215,14.4085,13.5227,0.6546,0.811,0.0533,medium,10.4091,22.0,2.0,0.95,15.23,13.4213,13.3676,11.4594,10.2926,,0.1348,0.329,0.4797,,0.032066,0.03689,0.0,6.0,transition,0.3327,0.4531,0.5573,60.62,5.7374,71.49,-9.6924,80.5,1110,bj920263,2025-05-23,60m,188
0.8023,high_trap,bull_aligned,10.8554,10.75,7.6618,2.8582,0.8759,0.065,high,6.2633,19.0,2.0,0.95,13.4796,8.2327,7.8086,7.2568,7.0701,,0.6373,0.8575,0.9066,,0.173299,0.054413,0.0,6.0,transition,0.7321,-0.7379,-1.2191,73.37,-15.3497,75.33,-25.2374,85.52,1111,sz002651,2025-05-23,60m,188
0.9558,high_trap,bull_aligned,23.6795,24.5252,18.4028,1.4568,1.8394,0.0686,high,16.6587,14.0,2.0,0.95,26.8135,21.2368,19.2847,16.6586,15.5537,,0.2626,0.6096,0.7239,,0.077116,0.040448,0.0,6.0,transition,-0.1937,-0.0169,0.7564,68.41,-0.4925,92.46,12.3412,87.46,1112,sz300920,2025-05-23,60m,188
0.2519,bottom_start,neutral,15.1979,14.8984,16.7587,-0.0069,0.9494,0.0615,high,12.5184,16.0,2.0,0.95,15.4488,15.0874,16.0898,17.0813,17.4742,,0.024,-0.0956,-0.1159,,-0.015821,-0.004344,0.0,2.0,bottom,0.3269,-0.0034,-0.0984,49.73,-0.4355,68.98,5.71,66.32,1113,bj920670,2025-05-23,60m,188
0.5039,main_wave,neutral,10.0241,9.9477,10.4484,0.4638,0.5155,0.0412,medium,8.6452,17.0,1.708,0.95,12.51,9.799,10.2789,10.2658,10.5905,,0.2767,0.2186,0.1812,,-0.003964,-0.006837,0.0,4.0,transition,0.7875,0.7627,0.8192,77.57,35.8032,113.2,62.6387,92.73,1114,sz000695,2025-05-23,60m,178
1.0,high_trap,bull_aligned,8.9535,8.7346,7.7435,1.1823,0.47,0.0375,medium,6.5511,20.0,1.791,0.95,12.55,7.9317,7.7913,7.7326,7.9111,,0.5823,0.623,0.5864,,0.074606,0.007951,0.0,6.0,transition,1.1158,0.7174,0.357,88.96,32.3897,105.28,-2.0361,98.54,1115,sh605136,2025-05-23,60m,188
0.6932,main_wave,bull_aligned,19.7685,19.6013,17.6715,1.8305,1.6493,0.064,high,13.4326,22.0,2.0,0.95,25.7898,17.9519,17.7159,16.5993,16.0565,,0.4366,0.5537,0.6062,,0.063827,0.030651,0.0,6.0,transition,2.0652,2.0073,1.9375,74.09,19.0323,70.93,-5.2234,78.11,1116,bj920392,2025-05-23,60m,188
1.0,high_trap,bull_aligned,10.9563,11.0608,8.7469,0.2131,1.0825,0.0765,high,7.4451,17.0,2.0,0.95,14.15,9.8327,9.0364,8.1231,8.0966,,0.4391,0.7419,0.7476,,0.079524,0.028199,0.0,6.0,transition,0.5037,0.7168,0.6011,78.41,19.4877,103.01,23.6066,90.98,1117,sz300204,2025-05-23,60m,188
0.7627,high_zone,bull_aligned,3.5185,3.6862,2.7624,0.3738,0.2,0.0521,medium,2.6637,16.0,1.616,0.95,3.84,3.0287,2.8251,2.6134,2.5766,,0.2679,0.4693,0.4903,,0.086452,0.029591,0.0,6.0,transition,-0.086,-0.1467,-0.0043,68.49,-25.8394,71.26,0.2562,75.36,1118,sz002259,2025-05-23,60m,187
1.0,high_trap,bull_aligned,31.2915,30.6056,28.3764,1.9707,2.0245,0.0429,medium,24.4191,20.0,2.0,0.98,47.1466,29.0598,28.7076,25.9874,24.7437,,0.6224,0.8142,0.9054,,0.038693,0.028925,0.0,6.0,transition,4.5098,4.967,4.8185,87.14,43.6176,111.44,60.6674,94.14,1119,sh688336,2025-05-23,60m,188
1.0,high_trap,bull_aligned,4.9017,4.7923,4.3827,0.6962,0.225,0.0328,medium,3.8264,21.0,1.482,0.95,6.86,4.3207,4.3518,4.3321,4.5332,,0.5877,0.5835,0.5133,,0.062807,0.018947,0.0,6.0,transition,0.61,0.3355,0.0998,89.46,24.2242,102.75,11.7817,98.71,1120,sh600770,2025-05-23,60m,188
0.5532,main_wave,bull_aligned,32.5056,33.6204,33.5839,2.0261,1.7346,0.0489,medium,25.7649,19.0,2.0,0.95,35.4559,30.4232,32.2281,33.7271,29.4616,,0.1654,0.0513,0.2035,,0.002842,0.010197,0.0,6.0,transition,0.4205,0.1793,0.8678,62.39,5.0229,100.38,16.4547,92.47,1121,bj920190,2025-05-23,60m,188
0.5982,main_wave,bull_aligned,12.9715,12.8346,12.0791,1.5092,0.8955,0.0578,medium,9.3568,22.0,2.0,0.95,15.48,11.8943,11.7856,11.4994,12.0924,,0.3015,0.3462,0.2801,,0.06383,0.020128,0.0,6.0,transition,0.8823,0.4591,0.2568,65.44,8.3109,68.9,-28.645,77.23,1122,bj920719,2025-05-26,60m,190
0.893,high_trap,bull_aligned,6.8402,7.2,5.4418,0.7092,0.367,0.0479,medium,5.4387,15.0,1.489,0.95,7.66,5.9913,5.6236,5.1006,4.7379,,0.2785,0.5018,0.6167,,0.078677,0.030184,0.0,6.0,transition,0.0044,0.0971,0.3806,71.29,7.6331,90.71,19.6226,85.81,1123,sz002650,2025-05-26,60m,190
0.5534,main_wave,bull_aligned,28.9032,32.0463,20.0449,6.4912,3.8509,0.1332,high,13.945,21.0,2.0,0.95,28.9127,22.6821,20.481,17.4893,16.7294,,0.2747,0.6532,0.7283,,0.148869,0.062328,0.0,6.0,transition,-2.537,-2.9629,1.2549,56.29,-26.0155,45.74,-15.5795,56.23,1124,bj920169,2025-05-26,60m,190
0.7961,high_zone,bull_aligned,11.0787,10.9244,10.3585,0.8473,0.7897,0.0631,high,8.2405,21.0,2.0,0.95,12.5234,10.4855,10.3805,9.983,10.2209,,0.1944,0.2545,0.2253,,0.034464,0.018291,0.0,6.0,transition,0.3927,-0.1446,-0.6453,64.74,-8.9812,68.53,-9.1613,67.3,1125,bj920946,2025-05-26,60m,190
1.0,high_trap,bull_aligned,10.0163,9.7185,7.9764,1.94,0.6205,0.0428,medium,6.7112,19.0,1.892,0.95,14.51,8.4277,8.0527,7.845,8.0015,,0.7217,0.8496,0.8134,,0.12289,0.02482,0.0,6.0,transition,1.3786,0.4986,-0.1944,92.09,15.0806,100.32,-7.3401,97.9,1126,sh605136,2025-05-26,60m,190
0.5247,main_wave,bull_aligned,21.9667,22.0877,21.1038,2.5892,1.9915,0.0877,high,15.1604,23.0,2.0,0.95,22.72,19.9633,20.1549,20.0923,19.8413,,0.1381,0.1308,0.1451,,0.062841,0.020393,0.0,6.0,transition,0.3282,-0.91,-1.7784,54.94,-10.6184,42.1,-36.7755,58.46,1127,bj920436,2025-05-26,60m,190
0.671,main_wave,bull_aligned,14.8211,14.7954,13.7856,0.9923,0.942,0.0552,medium,10.5171,22.0,2.0,0.95,17.07,13.8503,13.452,11.6659,10.4425,,0.2325,0.4632,0.6347,,0.056283,0.042461,0.0,6.0,transition,0.5494,0.0914,-0.4775,69.68,14.5282,92.85,-5.2803,89.16,1128,bj920263,2025-05-26,60m,190
0.0309,abyss_bottom,bear_aligned,5.2339,4.4946,8.7909,-0.9554,0.463,0.1077,high,4.8621,14.0,2.0,0.95,4.3,6.549,8.1213,8.3643,7.0649,,-0.3434,-0.4859,-0.3914,,-0.109948,-0.000558,0.0,1.0,bottom,0.3645,0.1278,-0.2699,30.12,6.6986,7.7,-5.1081,8.6,1129,sz300344,2025-05-26,daily,195
0.7736,high_zone,bull_aligned,19.3778,19.4223,18.1936,1.7046,1.7145,0.0783,high,13.4914,22.0,2.0,0.95,21.9,18.6047,18.3549,16.4484,15.3145,,0.1771,0.3314,0.43,,0.01962,0.031049,0.0,6.0,transition,0.4336,-0.4345,-0.9027,62.62,3.4925,68.35,-24.4841,67.89,1130,bj920300,2025-05-26,60m,190
0.5953,main_wave,bull_aligned,31.4545,33.7016,23.1518,4.7068,2.7679,0.084,high,19.8605,17.0,2.0,0.95,32.9599,26.1777,23.9176,21.7984,21.4892,,0.2591,0.512,0.5338,,0.109456,0.039123,0.0,6.0,transition,-1.6032,-2.0277,0.9032,60.7,-16.4216,49.79,-12.2675,57.88,1131,sz301317,2025-05-26,60m,190
0.0345,abyss_bottom,neutral,13.0704,12.411,26.3205,0.3246,0.996,0.0775,high,11.8202,14.0,2.0,0.95,12.8476,15.0128,22.466,37.0032,36.3599,,-0.1442,-0.6528,-0.6467,,-0.116849,-0.058585,0.0,0.0,bottom,1.3751,0.0771,0.2379,34.03,7.6731,15.53,6.9664,13.04,1132,sz300561,2025-05-26,60m,189
0.0792,abyss_bottom,bear_aligned,3.3556,3.0577,5.2593,-0.1677,0.27,0.0857,high,2.8824,14.0,2.0,0.95,3.15,3.791,4.6662,6.3246,6.9111,,-0.1691,-0.5019,-0.5442,,-0.065335,-0.030208,0.0,0.0,bottom,0.2592,0.0363,-0.1299,33.89,12.962,26.77,0.6764,25.84,1133,sz300472,2025-05-26,60m,189
0.4381,main_wave,neutral,13.4807,13.37,13.5773,1.0285,0.955,0.0703,high,10.3229,21.0,2.0,0.95,13.59,12.8223,12.9718,13.159,13.4036,,0.0599,0.0328,0.0139,,0.038246,0.016819,0.0,6.0,transition,0.08,-0.8552,-1.5589,52.27,1.5754,35.49,-52.6968,51.43,1134,bj920198,2025-05-26,60m,190
